Type;viersteller;vierstellername;AnzahlA;Anzahl KH;mwNennungenKH;antKHTop10Prozent;antKHTop20Prozent;antKHTop30Prozent;antKHTop40Prozent;antKHTop50Prozent
1;5-072;Adrenalektomie;3238;501;6.4631;0.445;0.6226;0.7372;0.819;0.8752
1;5-073;Andere Operationen an der Nebenniere;148;81;1.8272;0.3311;0.473;0.5811;0.6689;0.7297
1;5-074;Exzision und Resektion von erkranktem Gewebe des Corpus pineale;44;22;2.00;0.2727;0.4545;0.5909;0.6818;0.75
1;5-075;Exzision und Resektion von erkranktem Gewebe der Hypophyse;2802;140;20.0143;0.4636;0.6299;0.7459;0.8301;0.8965
1;5-076;Andere Operationen an der Hypophyse;42;19;2.2105;0.3571;0.50;0.5952;0.6905;0.7857
1;5-077;Exzision und Resektion des Thymus;2174;242;8.9835;0.6753;0.7792;0.8464;0.8891;0.9223
1;5-078;Andere Operationen am Thymus;37;19;1.9474;0.4595;0.5946;0.6486;0.7027;0.7568
1;5-079;Operationen an anderen endokrinen Drüsen;3;3;1.00;0.3333;0.3333;0.3333;0.3333;0.6667
1;5-080;Inzision der Tränendrüse;23;18;1.2778;0.2174;0.3913;0.4348;0.5217;0.6087
1;5-081;Exzision von (erkranktem) Gewebe der Tränendrüse;85;52;1.6346;0.2588;0.4118;0.5529;0.6353;0.6941
1;5-082;Andere Operationen an der Tränendrüse;68;14;4.8571;0.5735;0.7647;0.8088;0.8676;0.8971
1;5-084;Inzision von Tränensack und sonstigen Tränenwegen;571;111;5.1441;0.359;0.5377;0.6515;0.7426;0.8249
1;5-085;Exzision von erkranktem Gewebe an Tränensack und sonstigen Tränenwegen;292;82;3.561;0.3767;0.5377;0.661;0.7466;0.8116
1;5-086;Rekonstruktion des Tränenkanals und Tränenpunktes;3085;141;21.8794;0.6311;0.7958;0.8707;0.916;0.9485
1;5-087;Dakryozystorhinostomie;2469;158;15.6266;0.4366;0.6225;0.7461;0.8368;0.902
1;5-088;Andere Rekonstruktion der Tränenwege;1891;98;19.2959;0.7451;0.8657;0.9164;0.9429;0.9619
1;5-089;Andere Operationen an den Tränenwegen;323;77;4.1948;0.5975;0.6873;0.7585;0.808;0.8576
1;5-090;Inzision des (erkrankten) Augenlides;638;153;4.1699;0.3527;0.5658;0.6912;0.7837;0.8511
1;5-091;Exzision und Destruktion von (erkranktem) Gewebe des Augenlides;11379;304;37.4309;0.5216;0.7545;0.8846;0.9494;0.972
1;5-092;Operationen an Kanthus und Epikanthus;3736;207;18.0483;0.5835;0.7588;0.8474;0.9004;0.9374
1;5-093;Korrekturoperation bei Entropium und Ektropium;7701;182;42.3132;0.5037;0.6917;0.8205;0.894;0.9448
1;5-094;Korrekturoperation bei Blepharoptosis;3830;131;29.2366;0.4415;0.6373;0.7614;0.8559;0.9209
1;5-095;Naht des Augenlides;3767;247;15.251;0.481;0.7053;0.8386;0.9209;0.9567
1;5-096;Andere Rekonstruktion der Augenlider;11723;258;45.438;0.6123;0.7845;0.8889;0.9461;0.9713
1;5-097;Blepharoplastik;5898;264;22.3409;0.6551;0.8101;0.8852;0.9296;0.9554
1;5-098;Vertikale Lidverlängerung;494;72;6.8611;0.6174;0.753;0.8441;0.8907;0.919
1;5-099;Andere Operationen am Augenlid;662;135;4.9037;0.4033;0.5846;0.7205;0.8097;0.8731
1;5-10a;Verstärkende Eingriffe an einem geraden Augenmuskel;1804;77;23.4286;0.5133;0.6896;0.8182;0.8925;0.9357
1;5-10b;Schwächende Eingriffe an einem geraden Augenmuskel;2246;85;26.4235;0.5343;0.6995;0.8232;0.8905;0.9341
1;5-10c;Chirurgie der Abrollstrecke (Faden-Operation, Myopexie);197;37;5.3243;0.4772;0.5888;0.731;0.8325;0.8883
1;5-10d;Transposition eines geraden Augenmuskels;122;26;4.6923;0.4016;0.582;0.7623;0.8115;0.8689
1;5-10e;Andere Operationen an den geraden Augenmuskeln;1327;90;14.7444;0.5644;0.7265;0.835;0.8907;0.9269
1;5-10f;Verstärkende Eingriffe an einem schrägen Augenmuskel;145;33;4.3939;0.40;0.6207;0.7172;0.7931;0.869
1;5-10g;Schwächende Eingriffe an einem schrägen Augenmuskel;790;60;13.1667;0.5241;0.7215;0.8089;0.8709;0.9139
1;5-10h;Transposition eines schrägen Augenmuskels;62;21;2.9524;0.2419;0.4194;0.5484;0.6774;0.8065
1;5-10j;Andere Operationen an den schrägen Augenmuskeln;509;42;12.119;0.7328;0.8153;0.8821;0.9214;0.947
1;5-10k;Kombinierte Operationen an den Augenmuskeln;6365;96;66.3021;0.5095;0.6786;0.8113;0.8892;0.942
1;5-10m;Andere Operationen an den Augenmuskeln;55;31;1.7742;0.3091;0.5091;0.60;0.6545;0.7273
1;5-110;Operative Entfernung eines Fremdkörpers aus der Konjunktiva;155;71;2.1831;0.2774;0.4258;0.5613;0.6645;0.7677
1;5-112;Exzision und Destruktion von (erkranktem) Gewebe der Konjunktiva;2162;118;18.322;0.4228;0.6249;0.7354;0.8252;0.8918
1;5-113;Konjunktivaplastik;1083;99;10.9394;0.4063;0.6066;0.7285;0.8098;0.8753
1;5-114;Lösung von Adhäsionen zwischen Konjunktiva und Augenlid;306;65;4.7077;0.5752;0.6895;0.781;0.8333;0.8791
1;5-115;Naht der Konjunktiva;3964;124;31.9677;0.5956;0.7366;0.8116;0.8716;0.9135
1;5-119;Andere Operationen an der Konjunktiva;296;81;3.6543;0.3547;0.5304;0.6486;0.7365;0.8142
1;5-120;Operative Entfernung eines Fremdkörpers aus der Kornea;384;88;4.3636;0.3307;0.4896;0.599;0.7031;0.7969
1;5-121;Inzision der Kornea;219;38;5.7632;0.7306;0.7991;0.8402;0.8813;0.9132
1;5-122;Operationen bei Pterygium;2573;108;23.8241;0.3533;0.5243;0.6335;0.7299;0.8119
1;5-123;Exzision und Destruktion von (erkranktem) Gewebe der Kornea;4936;114;43.2982;0.4398;0.6564;0.7741;0.8537;0.9019
1;5-124;Naht der Kornea;3712;119;31.1933;0.4038;0.5814;0.7101;0.802;0.8755
1;5-125;Hornhauttransplantation und Keratoprothetik;7628;95;80.2947;0.5115;0.6901;0.8089;0.8732;0.9212
1;5-126;Refraktive Keratoplastik und andere Rekonstruktion der Kornea;362;38;9.5263;0.7127;0.8149;0.8591;0.9033;0.9309
1;5-129;Andere Operationen an der Kornea;6261;124;50.4919;0.3571;0.6096;0.7513;0.8559;0.9219
1;5-130;Operative Entfernung eines Fremdkörpers aus der vorderen Augenkammer;124;61;2.0328;0.3065;0.4516;0.5806;0.6774;0.7581
1;5-131;Senkung des Augeninnendruckes durch filtrierende Operationen;13248;116;114.2069;0.3779;0.5583;0.7058;0.8007;0.8773
1;5-132;Senkung des Augeninnendruckes durch Operationen am Corpus ciliare;9792;119;82.2857;0.2971;0.4846;0.6272;0.7402;0.8257
1;5-133;Senkung des Augeninnendruckes durch Verbesserung der Kammerwasserzirkulation;11082;123;90.0976;0.3732;0.5735;0.6904;0.7896;0.872
1;5-134;Senkung des Augeninnendruckes durch nicht filtrierende Operationen;2673;78;34.2692;0.5582;0.716;0.8148;0.893;0.9398
1;5-135;Exzision und Destruktion von erkranktem Gewebe an Iris, Corpus ciliare und Sklera;250;69;3.6232;0.436;0.572;0.684;0.768;0.832
1;5-136;Andere Iridektomie und Iridotomie;2641;111;23.7928;0.5733;0.7137;0.8042;0.8694;0.9167
1;5-137;Andere Operationen an der Iris;10295;119;86.5126;0.3243;0.489;0.6238;0.7343;0.8229
1;5-138;Operationen an der Sklera;2557;118;21.6695;0.4947;0.6488;0.7501;0.824;0.8815
1;5-139;Andere Operationen an Sklera, vorderer Augenkammer, Iris und Corpus ciliare;35564;131;271.4809;0.4129;0.6114;0.7455;0.8418;0.911
1;5-140;Entfernung eines Fremdkörpers aus der Augenlinse;28;22;1.2727;0.2143;0.3571;0.4643;0.5357;0.6071
1;5-142;Kapsulotomie der Linse;6563;123;53.3577;0.4106;0.6003;0.7201;0.8062;0.8796
1;5-143;Intrakapsuläre Extraktion der Linse;660;97;6.8041;0.5061;0.6424;0.747;0.8227;0.8773
1;5-144;Extrakapsuläre Extraktion der Linse [ECCE];97258;145;670.7448;0.2979;0.4619;0.6016;0.7153;0.8184
1;5-145;Andere Linsenextraktionen;2201;114;19.307;0.303;0.4975;0.6356;0.751;0.8355
1;5-146;(Sekundäre) Einführung und Wechsel einer alloplastischen Linse;4201;120;35.0083;0.2745;0.4751;0.6051;0.7098;0.7958
1;5-147;Revision und Entfernung einer alloplastischen Linse;2254;116;19.431;0.3088;0.4885;0.6229;0.7223;0.8088
1;5-149;Andere Operationen an der Linse;8242;114;72.2982;0.7697;0.8657;0.9116;0.9426;0.9619
1;5-150;Entfernung eines Fremdkörpers aus dem hinteren Augenabschnitt;191;65;2.9385;0.288;0.4555;0.6126;0.712;0.801
1;5-152;Fixation der Netzhaut durch eindellende Operationen;5718;110;51.9818;0.5157;0.7032;0.8087;0.8861;0.9404
1;5-153;Revision, Wechsel und Entfernung einer Cerclage oder Plombe, die zur Fixation der Netzhaut angelegt wurde;573;90;6.3667;0.3368;0.541;0.6789;0.7766;0.8464
1;5-154;Andere Operationen zur Fixation der Netzhaut;51459;143;359.8531;0.348;0.5748;0.7193;0.8189;0.9006
1;5-155;Destruktion von erkranktem Gewebe an Retina und Choroidea;17453;146;119.5411;0.3989;0.5861;0.736;0.8324;0.9061
1;5-156;Andere Operationen an der Retina;31455;142;221.5141;0.404;0.5782;0.7136;0.8148;0.8919
1;5-157;Andere Operationen an der Choroidea;1626;80;20.325;0.6359;0.7995;0.8708;0.9188;0.949
1;5-158;Pars-plana-Vitrektomie;63457;133;477.1203;0.2672;0.4722;0.6196;0.7318;0.8282
1;5-159;Vitrektomie über anderen Zugang und andere Operationen am Corpus vitreum;34745;128;271.4453;0.3906;0.6102;0.7451;0.8496;0.918
1;5-160;Orbitotomie;4445;167;26.6168;0.539;0.7323;0.861;0.924;0.9568
1;5-161;Entfernung eines Fremdkörpers aus Orbita und Augapfel, n.n.bez.;186;86;2.1628;0.3333;0.4731;0.586;0.672;0.7688
1;5-162;Entfernung des Augeninhaltes [Eviszeration];167;44;3.7955;0.2515;0.479;0.6228;0.7485;0.8204
1;5-163;Entfernung des Augapfels [Enukleation];1214;112;10.8393;0.4522;0.6129;0.7339;0.8155;0.8814
1;5-164;Andere Exzision, Destruktion und Exenteration der Orbita und Orbitainnenhaut;1108;137;8.0876;0.4919;0.676;0.7861;0.8574;0.9079
1;5-165;Sekundäre Einführung, Revision und Entfernung eines Orbitaimplantates;286;75;3.8133;0.514;0.6399;0.7378;0.8077;0.8636
1;5-166;Revision und Rekonstruktion von Orbita und Augapfel;1589;146;10.8836;0.5236;0.6929;0.8024;0.8678;0.9144
1;5-167;Rekonstruktion der Orbitawand;925;130;7.1154;0.48;0.6843;0.7849;0.8541;0.9038
1;5-168;Operationen am N. opticus;268;69;3.8841;0.3545;0.5634;0.7052;0.7985;0.8582
1;5-169;Andere Operationen an Orbita, Auge und Augapfel;2561;165;15.5212;0.6697;0.7891;0.8629;0.9129;0.9477
1;5-180;Inzision am äußeren Ohr;2229;238;9.3655;0.7986;0.8573;0.8928;0.9215;0.943
1;5-181;Exzision und Destruktion von erkranktem Gewebe des äußeren Ohres;12318;440;27.9955;0.5625;0.7645;0.8833;0.9441;0.9697
1;5-182;Resektion der Ohrmuschel;2615;297;8.8047;0.4486;0.6287;0.7556;0.8436;0.8975
1;5-183;Wundversorgung am äußeren Ohr;1534;436;3.5183;0.4016;0.5763;0.6982;0.7842;0.8442
1;5-184;Plastische Korrektur abstehender Ohren;1516;231;6.5628;0.4011;0.5712;0.6992;0.7922;0.8588
1;5-185;Konstruktion und Rekonstruktion des äußeren Gehörganges;8569;196;43.7194;0.4813;0.6351;0.7563;0.837;0.8949
1;5-186;Plastische Rekonstruktion von Teilen der Ohrmuschel;2201;288;7.6424;0.5234;0.687;0.781;0.8537;0.9037
1;5-187;Plastische Rekonstruktion der gesamten Ohrmuschel;338;100;3.38;0.6036;0.6953;0.7604;0.8195;0.8521
1;5-188;Andere Rekonstruktion des äußeren Ohres;666;206;3.233;0.482;0.6246;0.7192;0.7793;0.8423
1;5-189;Andere Operationen am äußeren Ohr;11492;234;49.1111;0.4431;0.6722;0.8175;0.912;0.9618
1;5-192;Revision einer Stapedektomie;321;93;3.4516;0.3551;0.5514;0.6698;0.7539;0.8224
1;5-193;Andere Operationen an den Gehörknöchelchen;588;64;9.1875;0.7245;0.8384;0.8912;0.9252;0.9456
1;5-194;Myringoplastik [Tympanoplastik Typ I];7150;190;37.6316;0.3366;0.5408;0.6906;0.7994;0.8736
1;5-195;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen);18031;198;91.0657;0.317;0.4995;0.6401;0.7525;0.836
1;5-197;Stapesplastik;2691;167;16.1138;0.353;0.5225;0.6559;0.7585;0.8343
1;5-198;Fensterungsoperation des Promotoriums;17;13;1.3077;0.2353;0.4118;0.4706;0.5294;0.6471
1;5-199;Andere mikrochirurgische Operationen am Mittelohr;403;75;5.3733;0.6476;0.7667;0.8337;0.871;0.9082
1;5-200;Parazentese [Myringotomie];38256;382;100.1466;0.3917;0.6405;0.8183;0.9293;0.9814
1;5-201;Entfernung einer Paukendrainage;1260;190;6.6316;0.3175;0.4841;0.6151;0.7246;0.8167
1;5-202;Inzision an Warzenfortsatz und Mittelohr;4918;178;27.6292;0.4225;0.5923;0.7078;0.8036;0.8774
1;5-203;Mastoidektomie;5468;200;27.34;0.4192;0.6207;0.748;0.8376;0.8987
1;5-204;Rekonstruktion des Mittelohres;5286;180;29.3667;0.4661;0.6489;0.7584;0.8343;0.8942
1;5-205;Andere Exzisionen an Mittel- und Innenohr;5093;175;29.1029;0.5301;0.7283;0.8384;0.902;0.9425
1;5-208;Inzision [Eröffnung] und Destruktion [Ausschaltung] des Innenohres;362;68;5.3235;0.5552;0.7044;0.7707;0.837;0.884
1;5-209;Andere Operationen am Mittel- und Innenohr;11904;189;62.9841;0.4269;0.6315;0.7632;0.8501;0.9127
1;5-210;Operative Behandlung einer Nasenblutung;12350;701;17.6177;0.5538;0.7647;0.8674;0.9194;0.9479
1;5-211;Inzision der Nase;2825;213;13.2629;0.3575;0.5427;0.6726;0.7773;0.8598
1;5-212;Exzision und Destruktion von erkranktem Gewebe der Nase;15690;453;34.6358;0.6528;0.8219;0.9059;0.9529;0.9752
1;5-213;Resektion der Nase;1285;198;6.4899;0.4576;0.6272;0.7354;0.8163;0.8763
1;5-214;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums;57989;314;184.6783;0.3662;0.5862;0.7391;0.8561;0.934
1;5-215;Operationen an der unteren Nasenmuschel [Concha nasalis];99350;321;309.5016;0.4551;0.6637;0.8043;0.9005;0.9623
1;5-216;Reposition einer Nasenfraktur;7478;392;19.0765;0.4741;0.6974;0.828;0.903;0.9482
1;5-217;Plastische Rekonstruktion der äußeren Nase;7514;334;22.497;0.5699;0.7466;0.847;0.903;0.9392
1;5-218;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik];10993;266;41.3271;0.4416;0.6111;0.7531;0.8501;0.9142
1;5-219;Andere Operationen an der Nase;805;212;3.7972;0.354;0.5354;0.6696;0.759;0.8298
1;5-220;Nasennebenhöhlenpunktion;593;127;4.6693;0.5396;0.661;0.7572;0.828;0.8718
1;5-221;Operationen an der Kieferhöhle;23138;266;86.985;0.412;0.5977;0.7373;0.8374;0.9149
1;5-222;Operation am Siebbein und an der Keilbeinhöhle;24995;236;105.911;0.3844;0.5654;0.7044;0.8119;0.8952
1;5-223;Operationen an der Stirnhöhle;6289;198;31.7626;0.5228;0.6963;0.7981;0.8728;0.9219
1;5-224;Operationen an mehreren Nasennebenhöhlen;25750;247;104.251;0.3382;0.5465;0.6945;0.8052;0.8868
1;5-225;Plastische Rekonstruktion der Nasennebenhöhlen;3672;168;21.8571;0.4586;0.6895;0.8235;0.906;0.9496
1;5-229;Andere Operationen an den Nasennebenhöhlen;1424;136;10.4706;0.4235;0.6208;0.7626;0.8434;0.9031
1;5-230;Zahnextraktion;24487;597;41.0168;0.8465;0.9409;0.9651;0.977;0.9847
1;5-231;Operative Zahnentfernung (durch Osteotomie);23065;315;73.2222;0.5953;0.8666;0.9632;0.9808;0.9891
1;5-232;Zahnsanierung durch Füllung;1468;172;8.5349;0.4857;0.6805;0.8127;0.8828;0.9244
1;5-233;Prothetischer Zahnersatz;165;81;2.037;0.3576;0.503;0.60;0.697;0.7576
1;5-235;Replantation, Transplantation, Implantation und Stabilisierung eines Zahnes;1289;139;9.2734;0.3763;0.6005;0.7572;0.8611;0.9147
1;5-236;Entfernung eines transplantierten Zahnes;3;2;1.50;0.6667;0.6667;0.6667;0.6667;0.6667
1;5-237;Wurzelspitzenresektion und Wurzelkanalbehandlung;1546;180;8.5889;0.4301;0.6384;0.7865;0.881;0.9256
1;5-240;Inzision des Zahnfleisches und Osteotomie des Alveolarkammes;2813;187;15.0428;0.7373;0.871;0.9218;0.9463;0.9609
1;5-241;Gingivaplastik;12280;153;80.2614;0.5609;0.8014;0.9173;0.9733;0.9894
1;5-242;Andere Operationen am Zahnfleisch;9013;276;32.6558;0.721;0.8808;0.9462;0.9693;0.9809
1;5-243;Exzision einer odontogenen pathologischen Veränderung des Kiefers;5061;173;29.2543;0.3847;0.6208;0.772;0.8842;0.9526
1;5-244;Alveolarkammplastik und Vestibulumplastik;4329;138;31.3696;0.6674;0.8025;0.8739;0.9245;0.9568
1;5-245;Zahnfreilegung;224;75;2.9867;0.2902;0.4509;0.5982;0.7054;0.7946
1;5-249;Andere Operationen und Maßnahmen an Gebiss, Zahnfleisch und Alveolen;7417;231;32.1082;0.5811;0.8129;0.9254;0.9664;0.9794
1;5-250;Inzision, Exzision und Destruktion von erkranktem Gewebe der Zunge;4637;231;20.0736;0.3349;0.5271;0.6772;0.7891;0.876
1;5-251;Partielle Glossektomie;2190;182;12.033;0.3005;0.5037;0.6635;0.7689;0.8479
1;5-252;Glossektomie;233;85;2.7412;0.3219;0.4721;0.6009;0.6953;0.7725
1;5-253;Rekonstruktion der Zunge;986;257;3.8366;0.3732;0.5639;0.6988;0.787;0.8458
1;5-259;Andere Operationen an der Zunge;2885;328;8.7957;0.5345;0.7057;0.799;0.8641;0.9081
1;5-260;Inzision und Schlitzung einer Speicheldrüse und eines Speicheldrüsenausführungsganges;1419;197;7.203;0.3545;0.5356;0.6772;0.7773;0.8534
1;5-261;Exzision von erkranktem Gewebe einer Speicheldrüse und eines Speicheldrüsenausführungsganges;2387;239;9.9874;0.354;0.5643;0.7093;0.8056;0.8789
1;5-262;Resektion einer Speicheldrüse;14653;236;62.089;0.3107;0.5075;0.6653;0.7822;0.8696
1;5-263;Rekonstruktion einer Speicheldrüse und eines Speicheldrüsenausführungsganges;287;95;3.0211;0.4878;0.6132;0.7143;0.777;0.8362
1;5-269;Andere Operationen an Speicheldrüse und Speicheldrüsenausführungsgang;2041;122;16.7295;0.5468;0.7315;0.8398;0.8991;0.9388
1;5-270;Äußere Inzision und Drainage im Mund-, Kiefer- und Gesichtsbereich;8494;467;18.1884;0.6533;0.8607;0.9201;0.9486;0.9654
1;5-271;Inzision des harten und weichen Gaumens;361;130;2.7769;0.3102;0.4709;0.59;0.6953;0.7673
1;5-272;Exzision und Destruktion des (erkrankten) harten und weichen Gaumens;3134;222;14.1171;0.2792;0.4745;0.6382;0.7556;0.8427
1;5-273;Inzision, Exzision und Destruktion in der Mundhöhle;12093;343;35.2566;0.5496;0.8102;0.9086;0.9465;0.9704
