Type;mdc;Name;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu
1;21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;208209;97981;110228;0;0.4706;0.5294;0.00
1;22;MDC 22 Verbrennungen;15744;6525;9219;0;0.4144;0.5856;0.00
1;23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;101079;53601;47478;0;0.5303;0.4697;0.00
1;FE;Fehler-DRGs und sonstige DRGs;43718;20523;23081;114;0.4694;0.528;0.0026
2;00;Prä-MDC;147;50;97;0;0.3401;0.6599;0.00
2;01;MDC 01 Krankheiten und Störungen des Nervensystems;4469;2390;2079;0;0.5348;0.4652;0.00
2;02;MDC 02 Krankheiten und Störungen des Auges;42858;24720;18138;0;0.5768;0.4232;0.00
2;03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;109001;50857;58144;0;0.4666;0.5334;0.00
2;04;MDC 04 Krankheiten und Störungen der Atmungsorgane;10975;4419;6556;0;0.4026;0.5974;0.00
2;05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;41166;18810;22356;0;0.4569;0.5431;0.00
2;06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;33398;13840;19558;0;0.4144;0.5856;0.00
2;07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;4047;2486;1561;0;0.6143;0.3857;0.00
2;08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;82255;45848;36406;1;0.5574;0.4426;0.00
2;09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;16732;10945;5787;0;0.6541;0.3459;0.00
2;10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;6501;4116;2385;0;0.6331;0.3669;0.00
2;11;MDC 11 Krankheiten und Störungen der Harnorgane;40567;14532;26035;0;0.3582;0.6418;0.00
2;12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;17218;0;17218;0;0.00;1.00;0.00
2;13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;20171;20171;0;0;1.00;0.00;0.00
2;14;MDC 14 Schwangerschaft, Geburt und Wochenbett;52840;52840;0;0;1.00;0.00;0.00
2;15;MDC 15 Neugeborene;40745;20123;20622;0;0.4939;0.5061;0.00
2;16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;1899;1078;821;0;0.5677;0.4323;0.00
2;17;MDC 17 Hämatologische und solide Neubildungen;2060;1038;1022;0;0.5039;0.4961;0.00
2;18A;MDC 18A HIV;15;5;10;0;0.3333;0.6667;0.00
2;18B;MDC 18B Infektiöse und parasitäre Krankheiten;1960;912;1048;0;0.4653;0.5347;0.00
2;19;MDC 19 Psychische Krankheiten und Störungen;312;230;82;0;0.7372;0.2628;0.00
2;20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;782;289;493;0;0.3696;0.6304;0.00
2;21A;MDC 21A Polytrauma;2;1;1;0;0.50;0.50;0.00
2;21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;2878;1354;1524;0;0.4705;0.5295;0.00
2;22;MDC 22 Verbrennungen;26;9;17;0;0.3462;0.6538;0.00
2;23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;1666;992;674;0;0.5954;0.4046;0.00
2;FE;Fehler-DRGs und sonstige DRGs;365;182;176;7;0.4986;0.4822;0.0192
