BettenStufe;BereichName;Anzahl KH;Anteil KH;StufeSort;BereichSortName
5;CMI 0.9 bis unter 1.0;38;0.3065;200 bis 249 Betten;CMI0910
5;CMI 1.0 bis unter 1.1;9;0.0726;200 bis 249 Betten;CMI1011
5;CMI 1.1 bis unter 1.2;8;0.0645;200 bis 249 Betten;CMI1112
5;CMI 1.2 bis unter 1.3;6;0.0484;200 bis 249 Betten;CMI1213
5;CMI >= 1.3;16;0.129;200 bis 249 Betten;CMI13
6;CMI < 0.9;35;0.3365;250 bis 299 Betten;CMI09
6;CMI 0.9 bis unter 1.0;32;0.3077;250 bis 299 Betten;CMI0910
6;CMI 1.0 bis unter 1.1;19;0.1827;250 bis 299 Betten;CMI1011
6;CMI 1.1 bis unter 1.2;7;0.0673;250 bis 299 Betten;CMI1112
6;CMI 1.2 bis unter 1.3;5;0.0481;250 bis 299 Betten;CMI1213
6;CMI >= 1.3;6;0.0577;250 bis 299 Betten;CMI13
7;CMI < 0.9;48;0.2743;300 bis 399 Betten;CMI09
7;CMI 0.9 bis unter 1.0;57;0.3257;300 bis 399 Betten;CMI0910
7;CMI 1.0 bis unter 1.1;31;0.1771;300 bis 399 Betten;CMI1011
7;CMI 1.1 bis unter 1.2;12;0.0686;300 bis 399 Betten;CMI1112
7;CMI 1.2 bis unter 1.3;8;0.0457;300 bis 399 Betten;CMI1213
7;CMI >= 1.3;19;0.1086;300 bis 399 Betten;CMI13
8;CMI < 0.9;17;0.1417;400 bis 499 Betten;CMI09
8;CMI 0.9 bis unter 1.0;52;0.4333;400 bis 499 Betten;CMI0910
8;CMI 1.0 bis unter 1.1;31;0.2583;400 bis 499 Betten;CMI1011
8;CMI 1.1 bis unter 1.2;14;0.1167;400 bis 499 Betten;CMI1112
8;CMI 1.2 bis unter 1.3;1;0.0083;400 bis 499 Betten;CMI1213
8;CMI >= 1.3;5;0.0417;400 bis 499 Betten;CMI13
9;CMI < 0.9;7;0.0897;500 bis 599 Betten;CMI09
9;CMI 0.9 bis unter 1.0;24;0.3077;500 bis 599 Betten;CMI0910
9;CMI 1.0 bis unter 1.1;21;0.2692;500 bis 599 Betten;CMI1011
9;CMI 1.1 bis unter 1.2;12;0.1538;500 bis 599 Betten;CMI1112
9;CMI 1.2 bis unter 1.3;6;0.0769;500 bis 599 Betten;CMI1213
9;CMI >= 1.3;8;0.1026;500 bis 599 Betten;CMI13
10;CMI < 0.9;4;0.0548;600 bis 799 Betten;CMI09
10;CMI 0.9 bis unter 1.0;20;0.274;600 bis 799 Betten;CMI0910
10;CMI 1.0 bis unter 1.1;29;0.3973;600 bis 799 Betten;CMI1011
10;CMI 1.1 bis unter 1.2;9;0.1233;600 bis 799 Betten;CMI1112
10;CMI 1.2 bis unter 1.3;3;0.0411;600 bis 799 Betten;CMI1213
10;CMI >= 1.3;8;0.1096;600 bis 799 Betten;CMI13
11;CMI < 0.9;3;0.0968;800 bis 999 Betten;CMI09
11;CMI 0.9 bis unter 1.0;0;0.00;800 bis 999 Betten;CMI0910
11;CMI 1.0 bis unter 1.1;5;0.1613;800 bis 999 Betten;CMI1011
11;CMI 1.1 bis unter 1.2;11;0.3548;800 bis 999 Betten;CMI1112
11;CMI 1.2 bis unter 1.3;2;0.0645;800 bis 999 Betten;CMI1213
11;CMI >= 1.3;10;0.3226;800 bis 999 Betten;CMI13
12;CMI < 0.9;0;0.00;ab 1000 Betten;CMI09
12;CMI 0.9 bis unter 1.0;1;0.0192;ab 1000 Betten;CMI0910
12;CMI 1.0 bis unter 1.1;5;0.0962;ab 1000 Betten;CMI1011
12;CMI 1.1 bis unter 1.2;9;0.1731;ab 1000 Betten;CMI1112
12;CMI 1.2 bis unter 1.3;8;0.1538;ab 1000 Betten;CMI1213
12;CMI >= 1.3;29;0.5577;ab 1000 Betten;CMI13
