Type;Bereich;Bezeichnung;Anzahl KH;AnzahlTS
2;D10-D36;Gutartige Neubildungen;98;4578
2;D37-D48;Neubildungen unsicheren oder unbekannten Verhaltens;126;7263
2;D50-D53;Alimentäre Anämien;87;375
2;D55-D59;Hämolytische Anämien;62;1690
2;D60-D64;Aplastische und sonstige Anämien;88;1994
2;D65-D69;Koagulopathien, Purpura und sonstige hämorrhagische Diathesen;84;1368
2;D70-D77;Sonstige Krankheiten des Blutes und der blutbildenden Organe;70;477
2;D80-D90;Bestimmte Störungen mit Beteiligung des Immunsystems;81;1293
2;E00-E07;Krankheiten der Schilddrüse;50;965
2;E10-E14;Diabetes mellitus;151;5651
2;E15-E16;Sonstige Störungen der Blutglukose-Regulation und der inneren Sekretion des Pankreas;22;81
2;E20-E35;Krankheiten sonstiger endokriner Drüsen;55;2455
2;E40-E46;Mangelernährung;22;78
2;E50-E64;Sonstige alimentäre Mangelzustände;43;106
2;E65-E68;Adipositas und sonstige Überernährung;61;1601
2;E70-E90;Stoffwechselstörungen;124;4097
2;F00-F09;Organische, einschließlich symptomatischer psychischer Störungen;118;1390
2;F10-F19;Psychische und Verhaltensstörungen durch psychotrope Substanzen;22;66
2;F20-F29;Schizophrenie, schizotype und wahnhafte Störungen;15;21
2;F30-F39;Affektive Störungen;117;650
2;F40-F48;Neurotische, Belastungs- und somatoforme Störungen;138;11020
2;F50-F59;Verhaltensauffälligkeiten mit körperlichen Störungen und Faktoren;53;520
2;F60-F69;Persönlichkeits- und Verhaltensstörungen;24;49
2;F70-F79;Intelligenzstörung;18;26
2;F80-F89;Entwicklungsstörungen;47;3375
2;F90-F98;Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend;45;1314
2;F99-F99;Nicht näher bezeichnete psychische Störungen;4;5
2;G00-G09;Entzündliche Krankheiten des Zentralnervensystems;46;405
2;G10-G14;Systematrophien, die vorwiegend das Zentralnervensystem betreffen;51;316
2;G20-G26;Extrapyramidale Krankheiten und Bewegungsstörungen;171;1885
2;G30-G32;Sonstige degenerative Krankheiten des Nervensystems;111;949
2;G35-G37;Demyelinisierende Krankheiten des Zentralnervensystems;79;3102
2;G40-G47;Episodische und paroxysmale Krankheiten des Nervensystems;171;22439
2;G50-G59;Krankheiten von Nerven, Nervenwurzeln und Nervenplexus;98;1232
2;G60-G64;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems;112;1892
2;G70-G73;Krankheiten im Bereich der neuromuskulären Synapse und des Muskels;66;445
2;G80-G83;Zerebrale Lähmung und sonstige Lähmungssyndrome;134;1476
2;G90-G99;Sonstige Krankheiten des Nervensystems;105;950
2;H00-H06;Affektionen des Augenlides, des Tränenapparates und der Orbita;33;568
2;H10-H13;Affektionen der Konjunktiva;7;40
2;H15-H22;Affektionen der Sklera, der Hornhaut, der Iris und des Ziliarkörpers;18;117
2;H25-H28;Affektionen der Linse;6;3721
2;H30-H36;Affektionen der Aderhaut und der Netzhaut;17;5550
2;H40-H42;Glaukom;8;47
2;H43-H45;Affektionen des Glaskörpers und des Augapfels;6;16
2;H46-H48;Affektionen des N. opticus und der Sehbahn;30;123
2;H49-H52;Affektionen der Augenmuskeln, Störungen der Blickbewegungen sowie Akkommodationsstörungen und Refraktionsfehler;37;130
2;H53-H54;Sehstörungen und Blindheit;38;192
2;H55-H59;Sonstige Affektionen des Auges und der Augenanhangsgebilde;29;104
2;H60-H62;Krankheiten des äußeren Ohres;17;54
2;H65-H75;Krankheiten des Mittelohres und des Warzenfortsatzes;24;260
2;H80-H83;Krankheiten des Innenohres;73;948
2;H90-H95;Sonstige Krankheiten des Ohres;39;6371
2;I00-I02;Akutes rheumatisches Fieber;4;5
2;I05-I09;Chronische rheumatische Herzkrankheiten;7;12
2;I10-I15;Hypertonie [Hochdruckkrankheit];105;901
2;I20-I25;Ischämische Herzkrankheiten;107;1349
2;I26-I28;Pulmonale Herzkrankheit und Krankheiten des Lungenkreislaufes;43;96
2;I30-I52;Sonstige Formen der Herzkrankheit;158;2802
2;I60-I69;Zerebrovaskuläre Krankheiten;164;3418
2;I70-I79;Krankheiten der Arterien, Arteriolen und Kapillaren;140;1344
2;I80-I89;Krankheiten der Venen, der Lymphgefäße und der Lymphknoten, anderenorts nicht klassifiziert;87;1139
2;I95-I99;Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems;42;97
2;J00-J06;Akute Infektionen der oberen Atemwege;33;111
2;J09-J18;Grippe und Pneumonie;77;277
2;J20-J22;Sonstige akute Infektionen der unteren Atemwege;37;103
2;J30-J39;Sonstige Krankheiten der oberen Atemwege;55;873
2;J40-J47;Chronische Krankheiten der unteren Atemwege;134;3248
2;J60-J70;Lungenkrankheiten durch exogene Substanzen;9;13
2;J80-J84;Sonstige Krankheiten der Atmungsorgane, die hauptsächlich das Interstitium betreffen;23;71
2;J85-J86;Purulente und nekrotisierende Krankheitszustände der unteren Atemwege;12;16
2;J90-J94;Sonstige Krankheiten der Pleura;25;82
2;J95-J99;Sonstige Krankheiten des Atmungssystems;61;850
2;K00-K14;Krankheiten der Mundhöhle, der Speicheldrüsen und der Kiefer;42;882
2;K20-K31;Krankheiten des Ösophagus, des Magens und des Duodenums;99;2006
2;K35-K38;Krankheiten der Appendix;6;12
2;K40-K46;Hernien;38;102
2;K50-K52;Nichtinfektiöse Enteritis und Kolitis;81;3132
2;K55-K64;Sonstige Krankheiten des Darmes;109;2441
2;K65-K67;Krankheiten des Peritoneums;12;16
2;K70-K77;Krankheiten der Leber;62;525
2;K80-K87;Krankheiten der Gallenblase, der Gallenwege und des Pankreas;74;443
2;K90-K93;Sonstige Krankheiten des Verdauungssystems;67;1278
2;L00-L08;Infektionen der Haut und der Unterhaut;52;249
2;L10-L14;Bullöse Dermatosen;33;326
2;L20-L30;Dermatitis und Ekzem;63;5781
2;L40-L45;Papulosquamöse Hautkrankheiten;76;6109
2;L50-L54;Urtikaria und Erythem;52;651
2;L55-L59;Krankheiten der Haut und der Unterhaut durch Strahleneinwirkung;40;1805
2;L60-L75;Krankheiten der Hautanhangsgebilde;53;1085
2;L80-L99;Sonstige Krankheiten der Haut und der Unterhaut;80;3179
2;M00-M03;Infektiöse Arthropathien;29;69
2;M05-M14;Entzündliche Polyarthropathien;135;3516
2;M15-M19;Arthrose;161;1997
2;M20-M25;Sonstige Gelenkkrankheiten;110;959
2;M30-M36;Systemkrankheiten des Bindegewebes;125;2477
2;M40-M43;Deformitäten der Wirbelsäule und des Rückens;89;856
2;M45-M49;Spondylopathien;177;3154
2;M50-M54;Sonstige Krankheiten der Wirbelsäule und des Rückens;193;6600
2;M60-M63;Krankheiten der Muskeln;82;595
2;M65-M68;Krankheiten der Synovialis und der Sehnen;23;41
2;M70-M79;Sonstige Krankheiten des Weichteilgewebes;139;3267
2;M80-M85;Veränderungen der Knochendichte und -struktur;133;770
2;M86-M90;Sonstige Osteopathien;81;1280
2;M91-M94;Chondropathien;24;48
2;M95-M99;Sonstige Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;73;496
2;N00-N08;Glomeruläre Krankheiten;30;116
2;N10-N16;Tubulointerstitielle Nierenkrankheiten;48;1092
2;N17-N19;Niereninsuffizienz;139;5529
2;N20-N23;Urolithiasis;20;357
2;N25-N29;Sonstige Krankheiten der Niere und des Ureters;30;254
2;N30-N39;Sonstige Krankheiten des Harnsystems;77;4059
2;N40-N51;Krankheiten der männlichen Genitalorgane;40;335
2;N60-N64;Krankheiten der Mamma [Brustdrüse];23;373
2;N70-N77;Entzündliche Krankheiten der weiblichen Beckenorgane;8;26
2;N80-N98;Nichtentzündliche Krankheiten des weiblichen Genitaltraktes;39;327
2;N99-N99;Sonstige Krankheiten des Urogenitalsystems;9;11
2;O00-O08;Schwangerschaft mit abortivem Ausgang;13;49
2;O09-O09;Schwangerschaftsdauer;0;0
2;O10-O16;Ödeme, Proteinurie und Hypertonie während der Schwangerschaft, der Geburt und des Wochenbettes;2;2
2;O20-O29;Sonstige Krankheiten der Mutter, die vorwiegend mit der Schwangerschaft verbunden sind;12;361
2;O30-O48;Betreuung der Mutter im Hinblick auf den Feten und die Amnionhöhle sowie mögliche Entbindungskomplikationen;4;279
2;O60-O75;Komplikationen bei Wehentätigkeit und Entbindung;3;14
2;O80-O82;Entbindung;0;0
2;O85-O92;Komplikationen, die vorwiegend im Wochenbett auftreten;3;6
2;O94-O99;Sonstige Krankheitszustände während der Gestationsperiode, die anderenorts nicht klassifiziert sind;8;40
2;P00-P04;Schädigung des Feten und Neugeborenen durch mütterliche Faktoren und durch Komplikationen bei Schwangerschaft, Wehentätigkeit und Entbindung;3;3
2;P05-P08;Störungen im Zusammenhang mit der Schwangerschaftsdauer und dem fetalen Wachstum;11;33
2;P10-P15;Geburtstrauma;2;3
2;P20-P29;Krankheiten des Atmungs- und Herz-Kreislaufsystems, die für die Perinatalperiode spezifisch sind;15;42
2;P35-P39;Infektionen, die für die Perinatalperiode spezifisch sind;5;13
2;P50-P61;Hämorrhagische und hämatologische Krankheiten beim Feten und Neugeborenen;11;18
2;P70-P74;Transitorische endokrine und Stoffwechselstörungen, die für den Feten und das Neugeborene spezifisch sind;2;2
2;P75-P78;Krankheiten des Verdauungssystems beim Feten und Neugeborenen;2;4
2;P80-P83;Krankheitszustände mit Beteiligung der Haut und der Temperaturregulation beim Feten und Neugeborenen;2;2
2;P90-P96;Sonstige Störungen, die ihren Ursprung in der Perinatalperiode haben;16;41
2;Q00-Q07;Angeborene Fehlbildungen des Nervensystems;49;590
2;Q10-Q18;Angeborene Fehlbildungen des Auges, des Ohres, des Gesichtes und des Halses;29;152
2;Q20-Q28;Angeborene Fehlbildungen des Kreislaufsystems;35;757
2;Q30-Q34;Angeborene Fehlbildungen des Atmungssystems;20;35
2;Q35-Q37;Lippen-, Kiefer- und Gaumenspalte;7;39
2;Q38-Q45;Sonstige angeborene Fehlbildungen des Verdauungssystems;30;243
2;Q50-Q56;Angeborene Fehlbildungen der Genitalorgane;27;58
2;Q60-Q64;Angeborene Fehlbildungen des Harnsystems;41;1447
2;Q65-Q79;Angeborene Fehlbildungen und Deformitäten des Muskel-Skelett-Systems;54;489
2;Q80-Q89;Sonstige angeborene Fehlbildungen;78;1155
2;Q90-Q99;Chromosomenanomalien, anderenorts nicht klassifiziert;31;133
2;R00-R09;Symptome, die das Kreislaufsystem und das Atmungssystem betreffen;104;1905
2;R10-R19;Symptome, die das Verdauungssystem und das Abdomen betreffen;104;4004
2;R20-R23;Symptome, die die Haut und das Unterhautgewebe betreffen;65;685
2;R25-R29;Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen;179;9940
2;R30-R39;Symptome, die das Harnsystem betreffen;41;888
2;R40-R46;Symptome, die das Erkennungs- und Wahrnehmungsvermögen, die Stimmung und das Verhalten betreffen;118;1498
2;R47-R49;Symptome, die die Sprache und die Stimme betreffen;40;311
2;R50-R69;Allgemeinsymptome;186;4042
2;R70-R79;Abnorme Blutuntersuchungsbefunde ohne Vorliegen einer Diagnose;45;376
2;R80-R82;Abnorme Urinuntersuchungsbefunde ohne Vorliegen einer Diagnose;11;22
2;R83-R89;Abnorme Befunde ohne Vorliegen einer Diagnose bei der Untersuchung anderer Körperflüssigkeiten, Substanzen und Gewebe;12;13
2;R90-R94;Abnorme Befunde ohne Vorliegen einer Diagnose bei bildgebender Diagnostik und Funktionsprüfungen;55;464
2;R95-R99;Ungenau bezeichnete und unbekannte Todesursachen;0;0
2;S00-S09;Verletzungen des Kopfes;95;1049
2;S10-S19;Verletzungen des Halses;28;88
2;S20-S29;Verletzungen des Thorax;82;280
2;S30-S39;Verletzungen des Abdomens, der Lumbosakralgegend, der Lendenwirbelsäule und des Beckens;124;796
2;S40-S49;Verletzungen der Schulter und des Oberarmes;113;715
2;S50-S59;Verletzungen des Ellenbogens und des Unterarmes;69;179
2;S60-S69;Verletzungen des Handgelenkes und der Hand;16;52
2;S70-S79;Verletzungen der Hüfte und des Oberschenkels;121;1605
2;S80-S89;Verletzungen des Knies und des Unterschenkels;95;345
2;S90-S99;Verletzungen der Knöchelregion und des Fußes;38;55
2;T00-T07;Verletzungen mit Beteiligung mehrerer Körperregionen;5;8
2;T08-T14;Verletzungen nicht näher bezeichneter Teile des Rumpfes, der Extremitäten oder anderer Körperregionen;24;41
2;T15-T19;Folgen des Eindringens eines Fremdkörpers durch eine natürliche Körperöffnung;31;138
2;T20-T25;Verbrennungen oder Verätzungen der äußeren Körperoberfläche, Lokalisation bezeichnet;18;117
2;T26-T28;Verbrennungen oder Verätzungen, die auf das Auge und auf innere Organe begrenzt sind;3;4
2;T29-T32;Verbrennungen oder Verätzungen mehrerer und nicht näher bezeichneter Körperregionen;6;12
2;T33-T35;Erfrierungen;0;0
2;T36-T50;Vergiftungen durch Arzneimittel, Drogen und biologisch aktive Substanzen;16;26
2;T51-T65;Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen;28;218
2;T66-T78;Sonstige und nicht näher bezeichnete Schäden durch äußere Ursachen;52;1105
2;T79-T79;Bestimmte Frühkomplikationen eines Traumas;9;11
2;T80-T88;Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert;130;1538
2;T89-T89;Sonstige Komplikationen eines Traumas, anderenorts nicht klassifiziert;5;7
2;T90-T98;Folgen von Verletzungen, Vergiftungen und sonstigen Auswirkungen äußerer Ursachen;19;42
2;U00-U49;Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie und nicht belegte Schlüsselnummern;0;0
2;U50-U52;Funktionseinschränkung;5;9
2;U55-U55;Erfolgte Registrierung zur Organtransplantation;-999;-999
2;U60-U61;Stadieneinteilung der HIV-Infektion;0;0
2;U69-U69;Sonstige sekundäre Schlüsselnummern für besondere Zwecke;0;0
2;U80-U85;Infektionserreger mit Resistenzen gegen bestimmte Antibiotika oder Chemotherapeutika;0;0
2;U99-U99;Nicht belegte Schlüsselnummern;0;0
2;V01-X59;Unfälle;0;0
2;X60-X84;Vorsätzliche Selbstbeschädigung;0;0
2;X85-Y09;Tätlicher Angriff;0;0
2;Y10-Y34;Ereignis, dessen nähere Umstände unbestimmt sind;0;0
2;Y35-Y36;Gesetzliche Maßnahmen und Kriegshandlungen;0;0
2;Y40-Y84;Komplikationen bei der medizinischen und chirurgischen Behandlung;0;0
2;Z00-Z13;Personen, die das Gesundheitswesen zur Untersuchung und Abklärung in Anspruch nehmen;102;7571
2;Z20-Z29;Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten;27;425
2;Z30-Z39;Personen, die das Gesundheitswesen im Zusammenhang mit Problemen der Reproduktion in Anspruch nehmen;3;3
2;Z40-Z54;Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen;163;27555
2;Z55-Z65;Personen mit potentiellen Gesundheitsrisiken aufgrund sozioökonomischer oder psychosozialer Umstände;7;24
2;Z70-Z76;Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen;16;244
2;Z80-Z99;Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen;65;1569
3;A00;Cholera;0;0
3;A01;Typhus abdominalis und Paratyphus;0;0
3;A02;Sonstige Salmonelleninfektionen;-999;-999
3;A03;Shigellose [Bakterielle Ruhr];-999;-999
3;A04;Sonstige bakterielle Darminfektionen;21;26
3;A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;0;0
3;A06;Amöbiasis;-999;-999
3;A07;Sonstige Darmkrankheiten durch Protozoen;3;3
3;A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen;9;11
3;A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;41;174
3;A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;3;5
3;A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;9;34
3;A17;Tuberkulose des Nervensystems;-999;-999
3;A18;Tuberkulose sonstiger Organe;5;14
3;A19;Miliartuberkulose;0;0
3;A20;Pest;0;0
3;A21;Tularämie;0;0
3;A22;Anthrax [Milzbrand];0;0
3;A23;Brucellose;2;2
3;A24;Rotz [Malleus] und Melioidose [Pseudorotz];0;0
3;A25;Rattenbisskrankheiten;0;0
3;A26;Erysipeloid;2;2
3;A27;Leptospirose;0;0
3;A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert;0;0
3;A30;Lepra [Aussatz];0;0
3;A31;Infektion durch sonstige Mykobakterien;10;22
3;A32;Listeriose;-999;-999
3;A33;Tetanus neonatorum;0;0
3;A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes;0;0
3;A35;Sonstiger Tetanus;0;0
3;A36;Diphtherie;0;0
3;A37;Keuchhusten;-999;-999
3;A38;Scharlach;0;0
3;A39;Meningokokkeninfektion;3;3
3;A40;Streptokokkensepsis;2;2
3;A41;Sonstige Sepsis;23;35
3;A42;Aktinomykose;-999;-999
3;A43;Nokardiose;0;0
3;A44;Bartonellose;2;2
3;A46;Erysipel [Wundrose];31;71
3;A48;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert;-999;-999
3;A49;Bakterielle Infektion nicht näher bezeichneter Lokalisation;10;135
3;A50;Syphilis connata;0;0
3;A51;Frühsyphilis;21;73
3;A52;Spätsyphilis;13;34
3;A53;Sonstige und nicht näher bezeichnete Syphilis;14;57
3;A54;Gonokokkeninfektion;7;8
3;A55;Lymphogranuloma inguinale (venereum) durch Chlamydien;0;0
3;A56;Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten;0;0
3;A57;Ulcus molle (venereum);-999;-999
3;A58;Granuloma venereum (inguinale);0;0
3;A59;Trichomoniasis;0;0
3;A60;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex];-999;-999
3;A63;Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert;14;75
3;A64;Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet;-999;-999
3;A65;Nichtvenerische Syphilis;0;0
3;A66;Frambösie;0;0
3;A67;Pinta [Carate];-999;-999
3;A68;Rückfallfieber;-999;-999
3;A69;Sonstige Spirochäteninfektionen;52;263
3;A70;Infektionen durch Chlamydia psittaci;0;0
3;A71;Trachom;0;0
3;A74;Sonstige Krankheiten durch Chlamydien;-999;-999
3;A75;Fleckfieber;0;0
3;A77;Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen];0;0
3;A78;Q-Fieber;0;0
3;A79;Sonstige Rickettsiosen;0;0
3;A80;Akute Poliomyelitis [Spinale Kinderlähmung];0;0
3;A81;Atypische Virusinfektionen des Zentralnervensystems;6;13
3;A82;Tollwut [Rabies];0;0
3;A83;Virusenzephalitis, durch Moskitos [Stechmücken] übertragen;0;0
3;A84;Virusenzephalitis, durch Zecken übertragen;-999;-999
3;A85;Sonstige Virusenzephalitis, anderenorts nicht klassifiziert;0;0
3;A86;Virusenzephalitis, nicht näher bezeichnet;2;2
3;A87;Virusmeningitis;8;15
3;A88;Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert;0;0
3;A89;Virusinfektion des Zentralnervensystems, nicht näher bezeichnet;0;0
3;A90;Dengue-Fieber [Klassische Dengue];-999;-999
3;A91;Hämorrhagisches Dengue-Fieber;0;0
3;A92;Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten;-999;-999
3;A93;Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert;0;0
3;A94;Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet;0;0
3;A95;Gelbfieber;0;0
3;A96;Hämorrhagisches Fieber durch Arenaviren;0;0
3;A98;Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert;0;0
3;A99;Nicht näher bezeichnete hämorrhagische Viruskrankheit;0;0
3;B00;Infektionen durch Herpesviren [Herpes simplex];12;20
3;B01;Varizellen [Windpocken];3;3
3;B02;Zoster [Herpes zoster];51;148
3;B03;Pocken;0;0
3;B04;Affenpocken;0;0
3;B05;Masern;0;0
3;B06;Röteln [Rubeola] [Rubella];0;0
3;B07;Viruswarzen;32;325
3;B08;Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert;24;116
3;B09;Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist;-999;-999
3;B15;Akute Virushepatitis A;2;2
3;B16;Akute Virushepatitis B;6;7
3;B17;Sonstige akute Virushepatitis;3;4
3;B18;Chronische Virushepatitis;12;313
3;B19;Nicht näher bezeichnete Virushepatitis;-999;-999
3;B20;Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];5;170
3;B21;Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];5;91
3;B22;Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];6;206
3;B23;Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];5;910
3;B24;Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];9;1272
3;B25;Zytomegalie;12;19
3;B26;Mumps;0;0
3;B27;Infektiöse Mononukleose;15;20
3;B30;Viruskonjunktivitis;0;0
3;B33;Sonstige Viruskrankheiten, anderenorts nicht klassifiziert;2;6
3;B34;Viruskrankheit nicht näher bezeichneter Lokalisation;13;20
3;B35;Dermatophytose [Tinea];22;66
3;B36;Sonstige oberflächliche Mykosen;-999;-999
3;B37;Kandidose;10;15
3;B38;Kokzidioidomykose;0;0
3;B39;Histoplasmose;0;0
3;B40;Blastomykose;-999;-999
3;B41;Parakokzidioidomykose;0;0
3;B42;Sporotrichose;0;0
3;B43;Chromomykose und chromomykotischer Abszess;0;0
3;B44;Aspergillose;3;52
3;B45;Kryptokokkose;0;0
3;B46;Zygomykose;-999;-999
3;B47;Myzetom;0;0
3;B48;Sonstige Mykosen, anderenorts nicht klassifiziert;0;0
3;B49;Nicht näher bezeichnete Mykose;-999;-999
3;B50;Malaria tropica durch Plasmodium falciparum;-999;-999
3;B51;Malaria tertiana durch Plasmodium vivax;-999;-999
3;B52;Malaria quartana durch Plasmodium malariae;0;0
3;B53;Sonstige parasitologisch bestätigte Malaria;0;0
3;B54;Malaria, nicht näher bezeichnet;0;0
3;B55;Leishmaniose;7;11
3;B56;Afrikanische Trypanosomiasis;0;0
3;B57;Chagas-Krankheit;0;0
3;B58;Toxoplasmose;2;7
3;B59;Pneumozystose;3;6
3;B60;Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert;0;0
3;B64;Nicht näher bezeichnete Protozoenkrankheit;0;0
3;B65;Schistosomiasis [Bilharziose];-999;-999
3;B66;Befall durch sonstige Trematoden [Egel];0;0
3;B67;Echinokokkose;3;6
3;B68;Taeniasis;0;0
3;B69;Zystizerkose;0;0
3;B70;Diphyllobothriose und Sparganose;0;0
3;B71;Befall durch sonstige Zestoden;-999;-999
3;B72;Drakunkulose;0;0
3;B73;Onchozerkose;0;0
3;B74;Filariose;0;0
3;B75;Trichinellose;0;0
3;B76;Hakenwurm-Krankheit;0;0
