Type;Bundesland_A;Stufe;Anzahl KH;mwFallzahlA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
1;02_Hamburg;200 bis 249 Betten;2;9255,00;7,95;1,6045;0,0254;02;b0249 
2;02_Hamburg;200 bis 249 Betten;0;0,00;0,00;0,00;0,00;02;b0249 
1;02_Hamburg;250 bis 299 Betten;2;12557,50;7,50;1,178;0,0238;02;b0299 
2;02_Hamburg;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;02;b0299 
1;02_Hamburg;300 bis 399 Betten;-999;-999,00;-999,00;-999,00;-9,99;02;b0399 
2;02_Hamburg;300 bis 399 Betten;0;0,00;0,00;0,00;0,00;02;b0399 
1;02_Hamburg;400 bis 499 Betten;0;0,00;0,00;0,00;0,00;02;b0499 
2;02_Hamburg;400 bis 499 Betten;0;0,00;0,00;0,00;0,00;02;b0499 
1;02_Hamburg;500 bis 599 Betten;4;22982,75;7,80;1,4133;0,0191;02;b0599 
2;02_Hamburg;500 bis 599 Betten;0;0,00;0,00;0,00;0,00;02;b0599 
1;02_Hamburg;600 bis 799 Betten;5;32455,40;6,28;1,1958;0,0274;02;b0799 
2;02_Hamburg;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;02;b0799 
1;02_Hamburg;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;02;b0999 
2;02_Hamburg;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;02;b0999 
1;02_Hamburg;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;02;b1000+
2;02_Hamburg;1000 Betten und mehr;0;0,00;0,00;0,00;0,00;02;b1000+
1;02_Hamburg;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;02;oA    
2;02_Hamburg;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;02;oA    
1;03_Niedersachsen;bis 49 Betten;14;1019,1429;9,4071;1,0019;0,0348;03;b0049 
2;03_Niedersachsen;bis 49 Betten;13;748,8462;3,3846;0,5645;0,0039;03;b0049 
1;03_Niedersachsen;50 bis 99 Betten;22;2706,7273;11,2045;1,0142;0,0406;03;b0099 
2;03_Niedersachsen;50 bis 99 Betten;9;836,6667;4,0556;0,655;0,006;03;b0099 
1;03_Niedersachsen;100 bis 149 Betten;28;4908,7857;7,0607;0,9873;0,0391;03;b0149 
2;03_Niedersachsen;100 bis 149 Betten;18;773,6667;3,2778;0,4981;0,014;03;b0149 
1;03_Niedersachsen;150 bis 199 Betten;22;7129,6818;6,0545;1,061;0,0338;03;b0199 
2;03_Niedersachsen;150 bis 199 Betten;15;867,80;4,0467;0,5372;0,0183;03;b0199 
1;03_Niedersachsen;200 bis 249 Betten;8;11553,375;5,6875;1,0215;0,0389;03;b0249 
2;03_Niedersachsen;200 bis 249 Betten;3;618,3333;3,1667;0,4403;0,0119;03;b0249 
1;03_Niedersachsen;250 bis 299 Betten;17;13372,8235;5,9235;0,9532;0,0339;03;b0299 
2;03_Niedersachsen;250 bis 299 Betten;14;417,5714;3,3643;0,4605;0,0151;03;b0299 
1;03_Niedersachsen;300 bis 399 Betten;15;14494,2667;7,5267;1,1659;0,0369;03;b0399 
2;03_Niedersachsen;300 bis 399 Betten;9;325,1111;2,40;0,4201;0,0075;03;b0399 
1;03_Niedersachsen;400 bis 499 Betten;10;21285,10;6,03;1,0516;0,0365;03;b0499 
2;03_Niedersachsen;400 bis 499 Betten;5;550,60;3,34;0,5234;0,0084;03;b0499 
1;03_Niedersachsen;500 bis 599 Betten;4;27141,25;5,90;1,0385;0,0331;03;b0599 
2;03_Niedersachsen;500 bis 599 Betten;2;98,00;1,35;0,3595;0,00;03;b0599 
1;03_Niedersachsen;600 bis 799 Betten;4;26880,25;6,40;1,0783;0,0323;03;b0799 
2;03_Niedersachsen;600 bis 799 Betten;2;914,50;5,05;0,927;0,0022;03;b0799 
1;03_Niedersachsen;800 bis 999 Betten;2;28320,50;6,25;1,15;0,059;03;b0999 
2;03_Niedersachsen;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;03;b0999 
1;03_Niedersachsen;1000 Betten und mehr;3;55292,3333;6,9667;1,512;0,0379;03;b1000+
2;03_Niedersachsen;1000 Betten und mehr;0;0,00;0,00;0,00;0,00;03;b1000+
1;03_Niedersachsen;Ohne Angabe;4;2896,50;5,95;0,8095;0,018;03;oA    
2;03_Niedersachsen;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;03;oA    
1;04_Bremen;bis 49 Betten;0;0,00;0,00;0,00;0,00;04;b0049 
2;04_Bremen;bis 49 Betten;0;0,00;0,00;0,00;0,00;04;b0049 
1;04_Bremen;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0099 
2;04_Bremen;50 bis 99 Betten;0;0,00;0,00;0,00;0,00;04;b0099 
1;04_Bremen;100 bis 149 Betten;0;0,00;0,00;0,00;0,00;04;b0149 
2;04_Bremen;100 bis 149 Betten;0;0,00;0,00;0,00;0,00;04;b0149 
1;04_Bremen;150 bis 199 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0199 
2;04_Bremen;150 bis 199 Betten;0;0,00;0,00;0,00;0,00;04;b0199 
1;04_Bremen;200 bis 249 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0249 
2;04_Bremen;200 bis 249 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0249 
1;04_Bremen;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0299 
2;04_Bremen;250 bis 299 Betten;0;0,00;0,00;0,00;0,00;04;b0299 
1;04_Bremen;300 bis 399 Betten;2;12458,00;7,65;1,184;0,0192;04;b0399 
2;04_Bremen;300 bis 399 Betten;0;0,00;0,00;0,00;0,00;04;b0399 
1;04_Bremen;400 bis 499 Betten;3;22397,00;5,7667;1,0367;0,0412;04;b0499 
2;04_Bremen;400 bis 499 Betten;0;0,00;0,00;0,00;0,00;04;b0499 
1;04_Bremen;500 bis 599 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0599 
2;04_Bremen;500 bis 599 Betten;0;0,00;0,00;0,00;0,00;04;b0599 
1;04_Bremen;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;04;b0799 
2;04_Bremen;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;04;b0799 
1;04_Bremen;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0999 
2;04_Bremen;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;04;b0999 
1;04_Bremen;1000 Betten und mehr;0;0,00;0,00;0,00;0,00;04;b1000+
2;04_Bremen;1000 Betten und mehr;0;0,00;0,00;0,00;0,00;04;b1000+
1;04_Bremen;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;04;oA    
2;04_Bremen;Ohne Angabe;0;0,00;0,00;0,00;0,00;04;oA    
1;05_Nordrhein-Westfalen;bis 49 Betten;11;1131,00;6,4818;0,8329;0,0113;05;b0049 
2;05_Nordrhein-Westfalen;bis 49 Betten;3;1616,6667;4,6667;0,6273;0,0041;05;b0049 
1;05_Nordrhein-Westfalen;50 bis 99 Betten;25;2409,08;10,412;1,2328;0,023;05;b0099 
2;05_Nordrhein-Westfalen;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;05;b0099 
1;05_Nordrhein-Westfalen;100 bis 149 Betten;37;4409,00;7,6919;1,0612;0,0272;05;b0149 
2;05_Nordrhein-Westfalen;100 bis 149 Betten;12;421,1667;3,5083;0,5471;0,0085;05;b0149 
1;05_Nordrhein-Westfalen;150 bis 199 Betten;19;6497,5789;7,3474;0,9585;0,0255;05;b0199 
2;05_Nordrhein-Westfalen;150 bis 199 Betten;8;589,125;3,2375;0,4643;0,0123;05;b0199 
1;05_Nordrhein-Westfalen;200 bis 249 Betten;38;9116,7632;6,3316;0,982;0,0288;05;b0249 
2;05_Nordrhein-Westfalen;200 bis 249 Betten;22;356,50;3,3136;0,496;0,0129;05;b0249 
1;05_Nordrhein-Westfalen;250 bis 299 Betten;21;10922,4762;6,3381;1,0214;0,0233;05;b0299 
2;05_Nordrhein-Westfalen;250 bis 299 Betten;10;555,50;4,12;0,6406;0,0119;05;b0299 
1;05_Nordrhein-Westfalen;300 bis 399 Betten;62;13827,3065;6,5194;1,0105;0,0236;05;b0399 
2;05_Nordrhein-Westfalen;300 bis 399 Betten;36;419,5833;2,6639;0,4567;0,0101;05;b0399 
1;05_Nordrhein-Westfalen;400 bis 499 Betten;30;18521,4667;6,3233;1,0174;0,0232;05;b0499 
2;05_Nordrhein-Westfalen;400 bis 499 Betten;19;546,7368;3,4579;0,5387;0,0112;05;b0499 
1;05_Nordrhein-Westfalen;500 bis 599 Betten;20;22541,90;6,475;1,1498;0,0198;05;b0599 
2;05_Nordrhein-Westfalen;500 bis 599 Betten;6;493,1667;2,4333;0,44;0,0051;05;b0599 
1;05_Nordrhein-Westfalen;600 bis 799 Betten;26;27637,2692;6,55;1,0862;0,022;05;b0799 
2;05_Nordrhein-Westfalen;600 bis 799 Betten;12;642,6667;2,0667;0,4123;0,0064;05;b0799 
1;05_Nordrhein-Westfalen;800 bis 999 Betten;2;44277,00;6,45;1,166;0,0159;05;b0999 
2;05_Nordrhein-Westfalen;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;05;b0999 
1;05_Nordrhein-Westfalen;1000 Betten und mehr;14;47175,7857;6,9857;1,4128;0,0239;05;b1000+
2;05_Nordrhein-Westfalen;1000 Betten und mehr;5;1287,60;3,26;0,5126;0,013;05;b1000+
1;05_Nordrhein-Westfalen;Ohne Angabe;2;8646,50;10,35;0,4765;0,0366;05;oA    
2;05_Nordrhein-Westfalen;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;05;oA    
1;06_Hessen;bis 49 Betten;13;870,5385;16,9308;1,0912;0,0129;06;b0049 
2;06_Hessen;bis 49 Betten;-999;-999,00;-999,00;-999,00;-9,99;06;b0049 
1;06_Hessen;50 bis 99 Betten;13;2145,7692;17,4692;3,4056;0,0296;06;b0099 
2;06_Hessen;50 bis 99 Betten;6;3309,50;4,8833;0,7213;0,0147;06;b0099 
1;06_Hessen;100 bis 149 Betten;18;3292,0556;10,3778;1,2566;0,0236;06;b0149 
2;06_Hessen;100 bis 149 Betten;8;3266,375;4,10;0,5064;0,0288;06;b0149 
1;06_Hessen;150 bis 199 Betten;16;6885,00;7,0313;1,1026;0,0187;06;b0199 
2;06_Hessen;150 bis 199 Betten;10;491,80;3,59;0,5508;0,0092;06;b0199 
1;06_Hessen;200 bis 249 Betten;9;9655,00;5,9556;0,9273;0,036;06;b0249 
2;06_Hessen;200 bis 249 Betten;5;891,20;3,24;0,5078;0,0247;06;b0249 
1;06_Hessen;250 bis 299 Betten;7;10824,8571;6,5857;0,963;0,0318;06;b0299 
2;06_Hessen;250 bis 299 Betten;7;1207,4286;3,4571;0,4837;0,0101;06;b0299 
1;06_Hessen;300 bis 399 Betten;13;11515,0769;7,7077;1,2506;0,0289;06;b0399 
2;06_Hessen;300 bis 399 Betten;9;1484,1111;3,2778;0,5561;0,0192;06;b0399 
1;06_Hessen;400 bis 499 Betten;6;22283,00;5,9167;0,9517;0,0332;06;b0499 
2;06_Hessen;400 bis 499 Betten;4;496,50;4,30;0,6235;0,0086;06;b0499 
1;06_Hessen;500 bis 599 Betten;5;23002,20;6,26;1,0504;0,0262;06;b0599 
2;06_Hessen;500 bis 599 Betten;4;1391,00;4,50;0,5403;0,0059;06;b0599 
1;06_Hessen;600 bis 799 Betten;3;26808,00;6,70;1,147;0,0268;06;b0799 
2;06_Hessen;600 bis 799 Betten;2;6315,00;4,50;0,555;0,0179;06;b0799 
1;06_Hessen;800 bis 999 Betten;5;38379,40;6,28;1,1636;0,0173;06;b0999 
2;06_Hessen;800 bis 999 Betten;2;249,00;2,75;0,628;0,008;06;b0999 
1;06_Hessen;1000 Betten und mehr;3;47685,6667;6,4667;1,4543;0,0233;06;b1000+
2;06_Hessen;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;06;b1000+
1;06_Hessen;Ohne Angabe;2;3146,50;5,00;0,7345;0,0392;06;oA    
2;06_Hessen;Ohne Angabe;2;70,50;3,30;0,5065;0,1064;06;oA    
1;07_Rheinland-Pfalz;bis 49 Betten;3;1105,00;8,6333;1,3857;0,0015;07;b0049 
2;07_Rheinland-Pfalz;bis 49 Betten;-999;-999,00;-999,00;-999,00;-9,99;07;b0049 
1;07_Rheinland-Pfalz;50 bis 99 Betten;8;2262,50;11,50;1,1451;0,0236;07;b0099 
2;07_Rheinland-Pfalz;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;07;b0099 
1;07_Rheinland-Pfalz;100 bis 149 Betten;12;3422,75;8,70;0,921;0,0289;07;b0149 
2;07_Rheinland-Pfalz;100 bis 149 Betten;7;1143,00;4,0429;0,4914;0,0376;07;b0149 
1;07_Rheinland-Pfalz;150 bis 199 Betten;12;6220,4167;6,2167;0,8418;0,0379;07;b0199 
2;07_Rheinland-Pfalz;150 bis 199 Betten;10;583,60;3,05;0,4759;0,0182;07;b0199 
1;07_Rheinland-Pfalz;200 bis 249 Betten;8;7027,375;6,875;0,9476;0,0277;07;b0249 
2;07_Rheinland-Pfalz;200 bis 249 Betten;5;1006,00;3,92;0,4634;0,0247;07;b0249 
1;07_Rheinland-Pfalz;250 bis 299 Betten;5;9726,80;5,92;0,8776;0,0349;07;b0299 
2;07_Rheinland-Pfalz;250 bis 299 Betten;5;1386,60;4,12;0,5438;0,0226;07;b0299 
1;07_Rheinland-Pfalz;300 bis 399 Betten;7;13305,00;5,80;0,8764;0,0348;07;b0399 
2;07_Rheinland-Pfalz;300 bis 399 Betten;6;416,8333;4,60;0,5202;0,008;07;b0399 
1;07_Rheinland-Pfalz;400 bis 499 Betten;7;17375,4286;6,1714;0,9566;0,0335;07;b0499 
2;07_Rheinland-Pfalz;400 bis 499 Betten;7;585,4286;4,2143;0,5581;0,0095;07;b0499 
1;07_Rheinland-Pfalz;500 bis 599 Betten;9;19537,00;6,5556;1,0931;0,0319;07;b0599 
2;07_Rheinland-Pfalz;500 bis 599 Betten;5;1113,40;4,02;0,6086;0,0144;07;b0599 
1;07_Rheinland-Pfalz;600 bis 799 Betten;3;27966,6667;6,3667;1,1163;0,0175;07;b0799 
2;07_Rheinland-Pfalz;600 bis 799 Betten;3;367,3333;2,9667;0,479;0,0064;07;b0799 
1;07_Rheinland-Pfalz;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;07;b0999 
2;07_Rheinland-Pfalz;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;07;b0999 
1;07_Rheinland-Pfalz;1000 Betten und mehr;2;54093,00;6,60;1,3095;0,0347;07;b1000+
2;07_Rheinland-Pfalz;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;07;b1000+
1;07_Rheinland-Pfalz;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;07;oA    
2;07_Rheinland-Pfalz;Ohne Angabe;0;0,00;0,00;0,00;0,00;07;oA    
1;08_Baden-Württemberg;bis 49 Betten;15;1037,80;16,8933;1,5817;0,0138;08;b0049 
2;08_Baden-Württemberg;bis 49 Betten;8;918,375;3,075;0,5563;0,0022;08;b0049 
1;08_Baden-Württemberg;50 bis 99 Betten;37;2423,973;11,1486;1,4222;0,0189;08;b0099 
2;08_Baden-Württemberg;50 bis 99 Betten;10;1563,00;4,05;0,5756;0,0199;08;b0099 
1;08_Baden-Württemberg;100 bis 149 Betten;15;4148,0667;9,06;0,9881;0,0478;08;b0149 
2;08_Baden-Württemberg;100 bis 149 Betten;4;94,25;4,375;0,5608;0,0027;08;b0149 
1;08_Baden-Württemberg;150 bis 199 Betten;19;7493,7368;6,1105;0,9123;0,0347;08;b0199 
2;08_Baden-Württemberg;150 bis 199 Betten;14;346,2143;2,95;0,4869;0,0103;08;b0199 
1;08_Baden-Württemberg;200 bis 249 Betten;13;8896,9231;6,4769;1,06;0,0248;08;b0249 
2;08_Baden-Württemberg;200 bis 249 Betten;8;218,125;2,875;0,4771;0,0086;08;b0249 
1;08_Baden-Württemberg;250 bis 299 Betten;7;11756,00;6,0143;0,9229;0,0405;08;b0299 
2;08_Baden-Württemberg;250 bis 299 Betten;6;469,3333;3,2167;0,5847;0,0075;08;b0299 
1;08_Baden-Württemberg;300 bis 399 Betten;16;14569,125;6,3188;1,0934;0,032;08;b0399 
2;08_Baden-Württemberg;300 bis 399 Betten;11;757,6364;3,3273;0,521;0,0086;08;b0399 
1;08_Baden-Württemberg;400 bis 499 Betten;12;19606,8333;5,9083;0,9785;0,0341;08;b0499 
2;08_Baden-Württemberg;400 bis 499 Betten;10;556,60;4,19;0,5023;0,0138;08;b0499 
1;08_Baden-Württemberg;500 bis 599 Betten;6;23819,50;5,9833;1,032;0,0339;08;b0599 
2;08_Baden-Württemberg;500 bis 599 Betten;4;1022,00;3,50;0,5415;0,0091;08;b0599 
1;08_Baden-Württemberg;600 bis 799 Betten;8;29489,50;6,25;1,0588;0,0355;08;b0799 
2;08_Baden-Württemberg;600 bis 799 Betten;7;752,1429;3,1429;0,4376;0,022;08;b0799 
1;08_Baden-Württemberg;800 bis 999 Betten;4;39761,50;6,45;1,1593;0,0271;08;b0999 
2;08_Baden-Württemberg;800 bis 999 Betten;4;1010,25;3,375;0,4513;0,0168;08;b0999 
1;08_Baden-Württemberg;1000 Betten und mehr;8;58420,50;6,275;1,3409;0,0301;08;b1000+
2;08_Baden-Württemberg;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;08;b1000+
1;08_Baden-Württemberg;Ohne Angabe;2;11194,00;8,75;1,681;0,0263;08;oA    
2;08_Baden-Württemberg;Ohne Angabe;0;0,00;0,00;0,00;0,00;08;oA    
1;09_Bayern;bis 49 Betten;37;978,4865;11,2622;1,0512;0,0198;09;b0049 
2;09_Bayern;bis 49 Betten;9;1141,5556;4,9222;0,5669;0,0161;09;b0049 
1;09_Bayern;50 bis 99 Betten;44;2418,7955;7,9568;1,058;0,0214;09;b0099 
2;09_Bayern;50 bis 99 Betten;20;1680,10;3,62;0,5663;0,0087;09;b0099 
1;09_Bayern;100 bis 149 Betten;49;4408,9592;8,3327;1,1149;0,0344;09;b0149 
2;09_Bayern;100 bis 149 Betten;28;993,3571;3,7714;0,5883;0,0165;09;b0149 
1;09_Bayern;150 bis 199 Betten;30;6446,1333;7,07;1,0507;0,0436;09;b0199 
2;09_Bayern;150 bis 199 Betten;21;798,6667;3,781;0,492;0,0256;09;b0199 
1;09_Bayern;200 bis 249 Betten;19;8153,1053;5,9316;1,1633;0,0326;09;b0249 
2;09_Bayern;200 bis 249 Betten;13;2136,7692;4,3231;0,5913;0,01;09;b0249 
1;09_Bayern;250 bis 299 Betten;15;10884,40;6,2933;1,0575;0,028;09;b0299 
2;09_Bayern;250 bis 299 Betten;13;1449,8462;3,6077;0,5147;0,0233;09;b0299 
1;09_Bayern;300 bis 399 Betten;24;13945,375;6,2125;1,076;0,0406;09;b0399 
2;09_Bayern;300 bis 399 Betten;19;1439,0526;3,9316;0,6013;0,0306;09;b0399 
1;09_Bayern;400 bis 499 Betten;18;18322,6111;6,2944;1,0294;0,0353;09;b0499 
2;09_Bayern;400 bis 499 Betten;14;1336,50;4,0571;0,5744;0,022;09;b0499 
1;09_Bayern;500 bis 599 Betten;7;25111,7143;5,9286;1,0127;0,0403;09;b0599 
2;09_Bayern;500 bis 599 Betten;6;879,1667;4,1833;0,7853;0,0072;09;b0599 
1;09_Bayern;600 bis 799 Betten;7;30132,5714;6,30;1,0711;0,0485;09;b0799 
2;09_Bayern;600 bis 799 Betten;6;1220,3333;3,3333;0,4932;0,015;09;b0799 
1;09_Bayern;800 bis 999 Betten;7;37889,8571;6,6143;1,2834;0,0401;09;b0999 
2;09_Bayern;800 bis 999 Betten;3;1169,6667;2,4667;0,5143;0,006;09;b0999 
1;09_Bayern;1000 Betten und mehr;6;66924,6667;6,6667;1,3132;0,0404;09;b1000+
2;09_Bayern;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;09;b1000+
1;09_Bayern;Ohne Angabe;2;668,50;6,95;0,9915;0,0052;09;oA    
2;09_Bayern;Ohne Angabe;0;0,00;0,00;0,00;0,00;09;oA    
1;10_Saarland;bis 49 Betten;2;409,50;18,60;1,5915;0,0061;10;b0049 
2;10_Saarland;bis 49 Betten;0;0,00;0,00;0,00;0,00;10;b0049 
1;10_Saarland;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0099 
2;10_Saarland;50 bis 99 Betten;0;0,00;0,00;0,00;0,00;10;b0099 
1;10_Saarland;100 bis 149 Betten;2;5695,50;6,55;1,0035;0,0472;10;b0149 
2;10_Saarland;100 bis 149 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0149 
1;10_Saarland;150 bis 199 Betten;6;7022,6667;9,05;0,9883;0,0286;10;b0199 
2;10_Saarland;150 bis 199 Betten;4;725,25;4,05;0,5728;0,0179;10;b0199 
1;10_Saarland;200 bis 249 Betten;2;10191,00;6,40;0,8835;0,0302;10;b0249 
2;10_Saarland;200 bis 249 Betten;2;315,50;3,60;0,432;0,0079;10;b0249 
1;10_Saarland;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0299 
2;10_Saarland;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0299 
1;10_Saarland;300 bis 399 Betten;3;13286,6667;7,1667;1,1937;0,0286;10;b0399 
