BettenStufe;BereichName;Anzahl KH;Anteil KH;StufeSort;BereichSortName
9;CMI 1,2 bis unter 1,3;5;0,0641;500 bis 599 Betten;CMI1213
9;CMI >= 1,3;7;0,0897;500 bis 599 Betten;CMI13
10;CMI < 0,9;3;0,0455;600 bis 799 Betten;CMI09
10;CMI 0,9 bis unter 1,0;12;0,1818;600 bis 799 Betten;CMI0910
10;CMI 1,0 bis unter 1,1;37;0,5606;600 bis 799 Betten;CMI1011
10;CMI 1,1 bis unter 1,2;7;0,1061;600 bis 799 Betten;CMI1112
10;CMI 1,2 bis unter 1,3;2;0,0303;600 bis 799 Betten;CMI1213
10;CMI >= 1,3;5;0,0758;600 bis 799 Betten;CMI13
11;CMI < 0,9;1;0,0313;800 bis 999 Betten;CMI09
11;CMI 0,9 bis unter 1,0;2;0,0625;800 bis 999 Betten;CMI0910
11;CMI 1,0 bis unter 1,1;8;0,25;800 bis 999 Betten;CMI1011
11;CMI 1,1 bis unter 1,2;9;0,2813;800 bis 999 Betten;CMI1112
11;CMI 1,2 bis unter 1,3;3;0,0938;800 bis 999 Betten;CMI1213
11;CMI >= 1,3;9;0,2813;800 bis 999 Betten;CMI13
12;CMI < 0,9;0;0,00;ab 1000 Betten;CMI09
12;CMI 0,9 bis unter 1,0;2;0,0385;ab 1000 Betten;CMI0910
12;CMI 1,0 bis unter 1,1;4;0,0769;ab 1000 Betten;CMI1011
12;CMI 1,1 bis unter 1,2;9;0,1731;ab 1000 Betten;CMI1112
12;CMI 1,2 bis unter 1,3;8;0,1538;ab 1000 Betten;CMI1213
12;CMI >= 1,3;29;0,5577;ab 1000 Betten;CMI13
