Type;Bereich;Bezeichnung;Anzahl KH;AnzahlTS
2;C00-C14;Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx;77;2929
2;C15-C26;Bösartige Neubildungen der Verdauungsorgane;162;23369
2;C30-C39;Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe;132;15041
2;C40-C41;Bösartige Neubildungen des Knochens und des Gelenkknorpels;61;1345
2;C43-C44;Melanom und sonstige bösartige Neubildungen der Haut;80;9235
2;C45-C49;Bösartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes;100;3553
2;C50-C50;Bösartige Neubildungen der Brustdrüse [Mamma];114;18257
2;C51-C58;Bösartige Neubildungen der weiblichen Genitalorgane;98;6457
2;C60-C63;Bösartige Neubildungen der männlichen Genitalorgane;102;4722
2;C64-C68;Bösartige Neubildungen der Harnorgane;115;2607
2;C69-C72;Bösartige Neubildungen des Auges, des Gehirns und sonstiger Teile des Zentralnervensystems;81;3495
2;C73-C75;Bösartige Neubildungen der Schilddrüse und sonstiger endokriner Drüsen;65;1165
2;C76-C80;Bösartige Neubildungen ungenau bezeichneter, sekundärer und nicht näher bezeichneter Lokalisationen;127;5024
2;C81-C96;Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes, als primär festgestellt oder vermutet;139;30765
2;C97-C97;Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen;0;0
2;D00-D09;In-situ-Neubildungen;46;709
2;D10-D36;Gutartige Neubildungen;115;4880
2;D37-D48;Neubildungen unsicheren oder unbekannten Verhaltens;127;6254
2;D50-D53;Alimentäre Anämien;85;436
2;D55-D59;Hämolytische Anämien;68;1991
2;D60-D64;Aplastische und sonstige Anämien;91;1567
2;D65-D69;Koagulopathien, Purpura und sonstige hämorrhagische Diathesen;87;952
2;D70-D77;Sonstige Krankheiten des Blutes und der blutbildenden Organe;71;426
2;D80-D90;Bestimmte Störungen mit Beteiligung des Immunsystems;92;1166
2;E00-E07;Krankheiten der Schilddrüse;52;1034
2;E10-E14;Diabetes mellitus;168;5194
2;E15-E16;Sonstige Störungen der Blutglukose-Regulation und der inneren Sekretion des Pankreas;21;79
2;E20-E35;Krankheiten sonstiger endokriner Drüsen;61;2104
2;E40-E46;Mangelernährung;18;53
2;E50-E64;Sonstige alimentäre Mangelzustände;41;92
2;E65-E68;Adipositas und sonstige Überernährung;58;2206
2;E70-E90;Stoffwechselstörungen;137;4344
2;F00-F09;Organische, einschließlich symptomatischer psychischer Störungen;134;1747
2;F10-F19;Psychische und Verhaltensstörungen durch psychotrope Substanzen;22;55
2;F20-F29;Schizophrenie, schizotype und wahnhafte Störungen;28;32
2;F30-F39;Affektive Störungen;121;679
2;F40-F48;Neurotische, Belastungs- und somatoforme Störungen;173;10523
2;F50-F59;Verhaltensauffälligkeiten mit körperlichen Störungen und Faktoren;42;582
2;F60-F69;Persönlichkeits- und Verhaltensstörungen;21;131
2;F70-F79;Intelligenzstörung;22;76
2;F80-F89;Entwicklungsstörungen;50;3614
2;F90-F98;Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend;51;1528
2;F99-F99;Nicht näher bezeichnete psychische Störungen;-999;-999
2;G00-G09;Entzündliche Krankheiten des Zentralnervensystems;57;538
2;G10-G14;Systematrophien, die vorwiegend das Zentralnervensystem betreffen;60;362
2;G20-G26;Extrapyramidale Krankheiten und Bewegungsstörungen;179;2187
2;G30-G32;Sonstige degenerative Krankheiten des Nervensystems;120;1145
2;G35-G37;Demyelinisierende Krankheiten des Zentralnervensystems;78;3925
2;G40-G47;Episodische und paroxysmale Krankheiten des Nervensystems;181;25522
2;G50-G59;Krankheiten von Nerven, Nervenwurzeln und Nervenplexus;114;1261
2;G60-G64;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems;127;3096
2;G70-G73;Krankheiten im Bereich der neuromuskulären Synapse und des Muskels;76;720
2;G80-G83;Zerebrale Lähmung und sonstige Lähmungssyndrome;131;1390
2;G90-G99;Sonstige Krankheiten des Nervensystems;115;1204
2;H00-H06;Affektionen des Augenlides, des Tränenapparates und der Orbita;31;847
2;H10-H13;Affektionen der Konjunktiva;11;68
2;H15-H22;Affektionen der Sklera, der Hornhaut, der Iris und des Ziliarkörpers;21;139
2;H25-H28;Affektionen der Linse;11;4103
2;H30-H36;Affektionen der Aderhaut und der Netzhaut;17;2694
2;H40-H42;Glaukom;8;65
2;H43-H45;Affektionen des Glaskörpers und des Augapfels;6;14
2;H46-H48;Affektionen des N. opticus und der Sehbahn;34;154
2;H49-H52;Affektionen der Augenmuskeln, Störungen der Blickbewegungen sowie Akkommodationsstörungen und Refraktionsfehler;41;189
2;H53-H54;Sehstörungen und Blindheit;38;206
2;H55-H59;Sonstige Affektionen des Auges und der Augenanhangsgebilde;32;86
2;H60-H62;Krankheiten des äußeren Ohres;13;69
2;H65-H75;Krankheiten des Mittelohres und des Warzenfortsatzes;24;305
2;H80-H83;Krankheiten des Innenohres;77;1094
2;H90-H95;Sonstige Krankheiten des Ohres;42;7188
2;I00-I02;Akutes rheumatisches Fieber;3;5
2;I05-I09;Chronische rheumatische Herzkrankheiten;7;52
2;I10-I15;Hypertonie [Hochdruckkrankheit];118;878
2;I20-I25;Ischämische Herzkrankheiten;120;1356
2;I26-I28;Pulmonale Herzkrankheit und Krankheiten des Lungenkreislaufes;54;108
2;I30-I52;Sonstige Formen der Herzkrankheit;175;4338
2;I60-I69;Zerebrovaskuläre Krankheiten;181;3039
2;I70-I79;Krankheiten der Arterien, Arteriolen und Kapillaren;146;1804
2;I80-I89;Krankheiten der Venen, der Lymphgefäße und der Lymphknoten, anderenorts nicht klassifiziert;104;1096
2;I95-I99;Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems;54;140
2;J00-J06;Akute Infektionen der oberen Atemwege;38;244
2;J09-J18;Grippe und Pneumonie;93;374
2;J20-J22;Sonstige akute Infektionen der unteren Atemwege;47;222
2;J30-J39;Sonstige Krankheiten der oberen Atemwege;53;914
2;J40-J47;Chronische Krankheiten der unteren Atemwege;144;2831
2;J60-J70;Lungenkrankheiten durch exogene Substanzen;11;32
2;J80-J84;Sonstige Krankheiten der Atmungsorgane, die hauptsächlich das Interstitium betreffen;26;183
2;J85-J86;Purulente und nekrotisierende Krankheitszustände der unteren Atemwege;15;21
2;J90-J94;Sonstige Krankheiten der Pleura;26;71
2;J95-J99;Sonstige Krankheiten des Atmungssystems;57;1225
2;K00-K14;Krankheiten der Mundhöhle, der Speicheldrüsen und der Kiefer;51;1307
2;K20-K31;Krankheiten des Ösophagus, des Magens und des Duodenums;109;2703
2;K35-K38;Krankheiten der Appendix;8;15
2;K40-K46;Hernien;39;95
2;K50-K52;Nichtinfektiöse Enteritis und Kolitis;95;4838
2;K55-K64;Sonstige Krankheiten des Darmes;124;2264
2;K65-K67;Krankheiten des Peritoneums;15;27
2;K70-K77;Krankheiten der Leber;66;597
2;K80-K87;Krankheiten der Gallenblase, der Gallenwege und des Pankreas;66;554
2;K90-K93;Sonstige Krankheiten des Verdauungssystems;73;1626
2;L00-L08;Infektionen der Haut und der Unterhaut;63;249
2;L10-L14;Bullöse Dermatosen;36;308
2;L20-L30;Dermatitis und Ekzem;64;5419
2;L40-L45;Papulosquamöse Hautkrankheiten;78;5495
2;L50-L54;Urtikaria und Erythem;45;715
2;L55-L59;Krankheiten der Haut und der Unterhaut durch Strahleneinwirkung;34;1989
2;L60-L75;Krankheiten der Hautanhangsgebilde;56;1145
2;L80-L99;Sonstige Krankheiten der Haut und der Unterhaut;84;3195
2;M00-M03;Infektiöse Arthropathien;32;73
2;M05-M14;Entzündliche Polyarthropathien;152;3998
2;M15-M19;Arthrose;182;2436
2;M20-M25;Sonstige Gelenkkrankheiten;149;1267
2;M30-M36;Systemkrankheiten des Bindegewebes;140;3211
2;M40-M43;Deformitäten der Wirbelsäule und des Rückens;107;964
2;M45-M49;Spondylopathien;190;4015
2;M50-M54;Sonstige Krankheiten der Wirbelsäule und des Rückens;223;7638
2;M60-M63;Krankheiten der Muskeln;82;495
2;M65-M68;Krankheiten der Synovialis und der Sehnen;29;61
2;M70-M79;Sonstige Krankheiten des Weichteilgewebes;158;3437
2;M80-M85;Veränderungen der Knochendichte und -struktur;147;738
2;M86-M90;Sonstige Osteopathien;91;908
2;M91-M94;Chondropathien;28;56
2;M95-M99;Sonstige Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;70;532
2;N00-N08;Glomeruläre Krankheiten;34;169
2;N10-N16;Tubulointerstitielle Nierenkrankheiten;62;1272
2;N17-N19;Niereninsuffizienz;149;5837
2;N20-N23;Urolithiasis;22;286
2;N25-N29;Sonstige Krankheiten der Niere und des Ureters;33;289
2;N30-N39;Sonstige Krankheiten des Harnsystems;81;3942
2;N40-N51;Krankheiten der männlichen Genitalorgane;41;356
2;N60-N64;Krankheiten der Mamma [Brustdrüse];18;407
2;N70-N77;Entzündliche Krankheiten der weiblichen Beckenorgane;6;22
2;N80-N98;Nichtentzündliche Krankheiten des weiblichen Genitaltraktes;36;387
2;N99-N99;Sonstige Krankheiten des Urogenitalsystems;9;19
2;O00-O08;Schwangerschaft mit abortivem Ausgang;9;30
2;O09-O09;Schwangerschaftsdauer;0;0
2;O10-O16;Ödeme, Proteinurie und Hypertonie während der Schwangerschaft, der Geburt und des Wochenbettes;0;0
2;O20-O29;Sonstige Krankheiten der Mutter, die vorwiegend mit der Schwangerschaft verbunden sind;11;351
2;O30-O48;Betreuung der Mutter im Hinblick auf den Fetus und die Amnionhöhle sowie mögliche Entbindungskomplikationen;6;513
2;O60-O75;Komplikationen bei Wehentätigkeit und Entbindung;3;13
2;O80-O82;Entbindung;0;0
2;O85-O92;Komplikationen, die vorwiegend im Wochenbett auftreten;2;8
2;O94-O99;Sonstige Krankheitszustände während der Gestationsperiode, die anderenorts nicht klassifiziert sind;13;41
2;P00-P04;Schädigung des Fetus und Neugeborenen durch mütterliche Faktoren und durch Komplikationen bei Schwangerschaft, Wehentätigkeit und Entbindung;0;0
2;P05-P08;Störungen im Zusammenhang mit der Schwangerschaftsdauer und dem fetalen Wachstum;4;17
2;P10-P15;Geburtstrauma;3;7
2;P20-P29;Krankheiten des Atmungs- und Herz-Kreislaufsystems, die für die Perinatalperiode spezifisch sind;14;66
2;P35-P39;Infektionen, die für die Perinatalperiode spezifisch sind;12;17
2;P50-P61;Hämorrhagische und hämatologische Krankheiten beim Fetus und Neugeborenen;9;23
2;P70-P74;Transitorische endokrine und Stoffwechselstörungen, die für den Fetus und das Neugeborene spezifisch sind;2;2
2;P75-P78;Krankheiten des Verdauungssystems beim Fetus und Neugeborenen;-999;-999
2;P80-P83;Krankheitszustände mit Beteiligung der Haut und der Temperaturregulation beim Fetus und Neugeborenen;0;0
2;P90-P96;Sonstige Störungen, die ihren Ursprung in der Perinatalperiode haben;20;78
2;Q00-Q07;Angeborene Fehlbildungen des Nervensystems;48;594
2;Q10-Q18;Angeborene Fehlbildungen des Auges, des Ohres, des Gesichtes und des Halses;26;142
2;Q20-Q28;Angeborene Fehlbildungen des Kreislaufsystems;38;834
2;Q30-Q34;Angeborene Fehlbildungen des Atmungssystems;24;48
2;Q35-Q37;Lippen-, Kiefer- und Gaumenspalte;11;81
2;Q38-Q45;Sonstige angeborene Fehlbildungen des Verdauungssystems;41;283
2;Q50-Q56;Angeborene Fehlbildungen der Genitalorgane;27;71
2;Q60-Q64;Angeborene Fehlbildungen des Harnsystems;47;1875
2;Q65-Q79;Angeborene Fehlbildungen und Deformitäten des Muskel-Skelett-Systems;57;584
2;Q80-Q89;Sonstige angeborene Fehlbildungen;71;1285
2;Q90-Q99;Chromosomenanomalien, anderenorts nicht klassifiziert;37;127
2;R00-R09;Symptome, die das Kreislaufsystem und das Atmungssystem betreffen;114;1539
2;R10-R19;Symptome, die das Verdauungssystem und das Abdomen betreffen;115;4450
2;R20-R23;Symptome, die die Haut und das Unterhautgewebe betreffen;69;702
2;R25-R29;Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen;212;14541
2;R30-R39;Symptome, die das Harnsystem betreffen;43;1178
2;R40-R46;Symptome, die das Erkennungs- und Wahrnehmungsvermögen, die Stimmung und das Verhalten betreffen;125;2292
2;R47-R49;Symptome, die die Sprache und die Stimme betreffen;49;271
2;R50-R69;Allgemeinsymptome;217;4262
2;R70-R79;Abnorme Blutuntersuchungsbefunde ohne Vorliegen einer Diagnose;57;266
2;R80-R82;Abnorme Urinuntersuchungsbefunde ohne Vorliegen einer Diagnose;11;18
2;R83-R89;Abnorme Befunde ohne Vorliegen einer Diagnose bei der Untersuchung anderer Körperflüssigkeiten, Substanzen und Gewebe;4;5
2;R90-R94;Abnorme Befunde ohne Vorliegen einer Diagnose bei bildgebender Diagnostik und Funktionsprüfungen;59;329
2;R95-R99;Ungenau bezeichnete und unbekannte Todesursachen;0;0
2;S00-S09;Verletzungen des Kopfes;101;1243
2;S10-S19;Verletzungen des Halses;30;87
2;S20-S29;Verletzungen des Thorax;111;374
2;S30-S39;Verletzungen des Abdomens, der Lumbosakralgegend, der Lendenwirbelsäule und des Beckens;135;943
2;S40-S49;Verletzungen der Schulter und des Oberarmes;118;815
2;S50-S59;Verletzungen des Ellenbogens und des Unterarmes;82;189
2;S60-S69;Verletzungen des Handgelenkes und der Hand;28;65
2;S70-S79;Verletzungen der Hüfte und des Oberschenkels;133;1854
2;S80-S89;Verletzungen des Knies und des Unterschenkels;100;429
2;S90-S99;Verletzungen der Knöchelregion und des Fußes;36;86
2;T00-T07;Verletzungen mit Beteiligung mehrerer Körperregionen;5;6
2;T08-T14;Verletzungen nicht näher bezeichneter Teile des Rumpfes, der Extremitäten oder anderer Körperregionen;26;121
2;T15-T19;Folgen des Eindringens eines Fremdkörpers durch eine natürliche Körperöffnung;24;121
2;T20-T25;Verbrennungen oder Verätzungen der äußeren Körperoberfläche, Lokalisation bezeichnet;23;148
2;T26-T28;Verbrennungen oder Verätzungen, die auf das Auge und auf innere Organe begrenzt sind;5;5
2;T29-T32;Verbrennungen oder Verätzungen mehrerer und nicht näher bezeichneter Körperregionen;4;13
2;T33-T35;Erfrierungen;0;0
2;T36-T50;Vergiftungen durch Arzneimittel, Drogen und biologisch aktive Substanzen;13;23
2;T51-T65;Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen;26;171
2;T66-T78;Sonstige und nicht näher bezeichnete Schäden durch äußere Ursachen;49;1101
2;T79-T79;Bestimmte Frühkomplikationen eines Traumas;16;26
2;T80-T88;Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert;129;1705
2;T89-T89;Sonstige Komplikationen eines Traumas, anderenorts nicht klassifiziert;17;67
2;T90-T98;Folgen von Verletzungen, Vergiftungen und sonstigen Auswirkungen äußerer Ursachen;11;16
2;U00-U49;Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie und nicht belegte Schlüsselnummern;0;0
2;U50-U52;Funktionseinschränkung;8;10
2;U55-U55;Erfolgte Registrierung zur Organtransplantation;-999;-999
2;U60-U61;Stadieneinteilung der HIV-Infektion;0;0
2;U69-U69;Sonstige sekundäre Schlüsselnummern für besondere Zwecke;0;0
2;U80-U85;Infektionserreger mit Resistenzen gegen bestimmte Antibiotika oder Chemotherapeutika;0;0
2;U99-U99;Nicht belegte Schlüsselnummern;0;0
2;V01-X59;Unfälle;0;0
2;X60-X84;Vorsätzliche Selbstbeschädigung;0;0
2;X85-Y09;Tätlicher Angriff;0;0
2;Y10-Y34;Ereignis, dessen nähere Umstände unbestimmt sind;0;0
2;Y35-Y36;Gesetzliche Maßnahmen und Kriegshandlungen;0;0
2;Y40-Y84;Komplikationen bei der medizinischen und chirurgischen Behandlung;0;0
2;Z00-Z13;Personen, die das Gesundheitswesen zur Untersuchung und Abklärung in Anspruch nehmen;102;8664
2;Z20-Z29;Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten;28;453
2;Z30-Z39;Personen, die das Gesundheitswesen im Zusammenhang mit Problemen der Reproduktion in Anspruch nehmen;-999;-999
2;Z40-Z54;Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen;159;28477
2;Z55-Z65;Personen mit potentiellen Gesundheitsrisiken aufgrund sozioökonomischer oder psychosozialer Umstände;4;19
2;Z70-Z76;Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen;14;24
2;Z80-Z99;Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen;73;990
3;A00;Cholera;0;0
3;A01;Typhus abdominalis und Paratyphus;0;0
3;A02;Sonstige Salmonelleninfektionen;2;2
3;A03;Shigellose [Bakterielle Ruhr];0;0
3;A04;Sonstige bakterielle Darminfektionen;24;29
3;A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;2;2
3;A06;Amöbiasis;0;0
3;A07;Sonstige Darmkrankheiten durch Protozoen;4;5
3;A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen;6;20
3;A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;50;173
3;A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;6;10
3;A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;10;18
3;A17;Tuberkulose des Nervensystems;4;7
3;A18;Tuberkulose sonstiger Organe;3;11
3;A19;Miliartuberkulose;-999;-999
3;A20;Pest;0;0
3;A21;Tularämie;0;0
3;A22;Anthrax [Milzbrand];0;0
3;A23;Brucellose;4;6
3;A24;Rotz [Malleus] und Melioidose [Pseudorotz];0;0
3;A25;Rattenbisskrankheiten;0;0
3;A26;Erysipeloid;4;4
3;A27;Leptospirose;0;0
3;A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert;-999;-999
3;A30;Lepra [Aussatz];0;0
3;A31;Infektion durch sonstige Mykobakterien;9;21
3;A32;Listeriose;2;2
3;A33;Tetanus neonatorum;0;0
3;A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes;0;0
3;A35;Sonstiger Tetanus;0;0
3;A36;Diphtherie;0;0
3;A37;Keuchhusten;3;3
3;A38;Scharlach;-999;-999
3;A39;Meningokokkeninfektion;-999;-999
3;A40;Streptokokkensepsis;6;6
3;A41;Sonstige Sepsis;31;53
3;A42;Aktinomykose;2;2
3;A43;Nokardiose;-999;-999
3;A44;Bartonellose;0;0
3;A46;Erysipel [Wundrose];39;82
3;A48;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert;4;5
3;A49;Bakterielle Infektion nicht näher bezeichneter Lokalisation;13;168
3;A50;Syphilis connata;0;0
3;A51;Frühsyphilis;13;42
3;A52;Spätsyphilis;13;16
3;A53;Sonstige und nicht näher bezeichnete Syphilis;10;60
3;A54;Gonokokkeninfektion;8;9
3;A55;Lymphogranuloma inguinale (venereum) durch Chlamydien;0;0
3;A56;Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten;2;2
3;A57;Ulcus molle (venereum);0;0
3;A58;Granuloma venereum (inguinale);0;0
3;A59;Trichomoniasis;0;0
3;A60;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex];-999;-999
3;A63;Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert;15;65
3;A64;Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet;-999;-999
3;A65;Nichtvenerische Syphilis;0;0
3;A66;Frambösie;0;0
3;A67;Pinta [Carate];0;0
3;A68;Rückfallfieber;0;0
3;A69;Sonstige Spirochäteninfektionen;50;213
3;A70;Infektionen durch Chlamydia psittaci;-999;-999
3;A71;Trachom;0;0
3;A74;Sonstige Krankheiten durch Chlamydien;2;5
3;A75;Fleckfieber;0;0
3;A77;Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen];0;0
3;A78;Q-Fieber;0;0
3;A79;Sonstige Rickettsiosen;0;0
3;A80;Akute Poliomyelitis [Spinale Kinderlähmung];0;0
3;A81;Atypische Virusinfektionen des Zentralnervensystems;6;10
3;A82;Tollwut [Rabies];0;0
3;A83;Virusenzephalitis, durch Moskitos [Stechmücken] übertragen;0;0
3;A84;Virusenzephalitis, durch Zecken übertragen;3;6
3;A85;Sonstige Virusenzephalitis, anderenorts nicht klassifiziert;3;3
3;A86;Virusenzephalitis, nicht näher bezeichnet;5;6
3;A87;Virusmeningitis;10;21
3;A88;Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert;-999;-999
3;A89;Virusinfektion des Zentralnervensystems, nicht näher bezeichnet;0;0
3;A92;Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten;0;0
3;A93;Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert;0;0
3;A94;Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet;0;0
3;A95;Gelbfieber;0;0
3;A96;Hämorrhagisches Fieber durch Arenaviren;0;0
3;A97;Dengue;0;0
3;A98;Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert;0;0
3;A99;Nicht näher bezeichnete hämorrhagische Viruskrankheit;0;0
3;B00;Infektionen durch Herpesviren [Herpes simplex];17;25
3;B01;Varizellen [Windpocken];3;3
3;B02;Zoster [Herpes zoster];65;167
3;B03;Pocken;0;0
3;B04;Affenpocken;0;0
3;B05;Masern;0;0
3;B06;Röteln [Rubeola] [Rubella];-999;-999
3;B07;Viruswarzen;29;295
3;B08;Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert;28;170
3;B09;Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist;-999;-999
3;B15;Akute Virushepatitis A;-999;-999
3;B16;Akute Virushepatitis B;-999;-999
3;B17;Sonstige akute Virushepatitis;-999;-999
3;B18;Chronische Virushepatitis;12;211
3;B19;Nicht näher bezeichnete Virushepatitis;0;0
3;B20;Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];6;116
3;B21;Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];5;107
3;B22;Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];5;76
3;B23;Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];5;848
3;B24;Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];9;1104
3;B25;Zytomegalie;9;46
3;B26;Mumps;-999;-999
3;B27;Infektiöse Mononukleose;10;22
3;B30;Viruskonjunktivitis;0;0
3;B33;Sonstige Viruskrankheiten, anderenorts nicht klassifiziert;2;10
3;B34;Viruskrankheit nicht näher bezeichneter Lokalisation;15;52
3;B35;Dermatophytose [Tinea];24;77
3;B36;Sonstige oberflächliche Mykosen;5;9
3;B37;Kandidose;15;43
3;B38;Kokzidioidomykose;0;0
3;B39;Histoplasmose;0;0
3;B40;Blastomykose;0;0
3;B41;Parakokzidioidomykose;0;0
3;B42;Sporotrichose;0;0
3;B43;Chromomykose und chromomykotischer Abszess;0;0
3;B44;Aspergillose;8;48
3;B45;Kryptokokkose;0;0
3;B46;Zygomykose;0;0
3;B47;Myzetom;0;0
3;B48;Sonstige Mykosen, anderenorts nicht klassifiziert;0;0
3;B49;Nicht näher bezeichnete Mykose;0;0
3;B50;Malaria tropica durch Plasmodium falciparum;0;0
3;B51;Malaria tertiana durch Plasmodium vivax;0;0
3;B52;Malaria quartana durch Plasmodium malariae;0;0
3;B53;Sonstige parasitologisch bestätigte Malaria;0;0
3;B54;Malaria, nicht näher bezeichnet;-999;-999
3;B55;Leishmaniose;8;24
3;B56;Afrikanische Trypanosomiasis;0;0
3;B57;Chagas-Krankheit;0;0
3;B58;Toxoplasmose;4;6
3;B59;Pneumozystose;3;3
3;B60;Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert;0;0
3;B64;Nicht näher bezeichnete Protozoenkrankheit;0;0
3;B65;Schistosomiasis [Bilharziose];2;2
3;B66;Befall durch sonstige Trematoden [Egel];0;0
3;B67;Echinokokkose;7;14
3;B68;Taeniasis;0;0
3;B69;Zystizerkose;-999;-999
3;B70;Diphyllobothriose und Sparganose;0;0
3;B71;Befall durch sonstige Zestoden;0;0
3;B72;Drakunkulose;0;0
3;B73;Onchozerkose;0;0
3;B74;Filariose;0;0
3;B75;Trichinellose;0;0
3;B76;Hakenwurm-Krankheit;0;0
3;B77;Askaridose;-999;-999
3;B78;Strongyloidiasis;0;0
3;B79;Trichuriasis;0;0
