Type;drg;name;AnzahlA;mwVwd;vwdStd;AnzKLA;AntKLA;AnzLLA;AntLLA
1;A60B;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, Alter < 16 Jahre;212;5.7311;5.4197;0;0.00;18;0.0849
1;A60C;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, Alter > 15 Jahre;5157;7.4667;6.5994;928;0.1799;344;0.0667
1;A60D;Versagen und Abstoßung eines Organtransplantates, ein Belegungstag;2405;1.00;0.00;0;0.00;0;0.00
1;A61A;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen, mit äußerst schweren CC;350;17.10;15.1976;98;0.28;26;0.0743
1;A61B;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen, ohne äußerst schwere CC;3721;2.7304;5.0606;2554;0.6864;176;0.0473
1;A62Z;Evaluierungsaufenthalt vor Herztransplantation;144;22.7708;38.913;23;0.1597;26;0.1806
1;A63Z;Evaluierungsaufenthalt vor Lungen- oder Herz-Lungen-Transplantation;133;14.3083;9.1835;13;0.0977;22;0.1654
1;A64Z;Evaluierungsaufenthalt vor Leber-, Dünndarm oder Nieren-Pankreas-Transplantation;693;13.7489;18.5881;58;0.0837;98;0.1414
1;A66Z;Evaluierungsaufenthalt vor anderer Organtransplantation;600;3.515;3.2016;55;0.0917;60;0.10
1;A69Z;Evaluierungsaufenthalt vor Organtransplantation ohne Aufnahme auf eine Warteliste;776;13.3827;11.8144;52;0.067;80;0.1031
1;A90A;Teilstationäre geriatrische Komplexbehandlung, umfassende Behandlung;0;0.00;0;0;0.00;0;0.00
1;A90B;Teilstationäre geriatrische Komplexbehandlung, Basisbehandlung;0;0.00;0;0;0.00;0;0.00
1;B01Z;Mehrzeitige komplexe OR-Prozeduren bei Krankheiten und Störungen des Nervensystems;2692;25.0747;15.6923;123;0.0457;394;0.1464
1;B02A;Komplexe Kraniotomie oder Wirbelsäulen-Operation mit Strahlentherapie, mehr als 8 Bestrahlungen, bei bestimmter Neubildung des Nervensystems oder Alter < 6 Jahre und äuß. schw. CC, bei best. Neubildung d. Nervensyst. oder mit best. Eingr. am Schädel;394;48.5761;22.3021;21;0.0533;113;0.2868
1;B02B;Komplexe Kraniotomie oder Wirbelsäulen-Operation mit Strahlentherapie, mehr als 8 Bestrahlungen oder Alter > 5 Jahre und Alter < 18 Jahre mit gr. intrakran. Eingriff und äuß. schw. CC, bei best. Neubildung d. Nervensyst. oder mit best. Eingr. am Schädel;336;36.4702;18.1903;19;0.0565;60;0.1786
1;B02C;Komplexe Kraniotomie oder Wirbelsäulen-Operation, Alter < 6 Jahre oder Alter < 18 Jahre mit großem intrakraniellen Eingriff und äußerst schweren CC oder mit komplizierender Konstellation oder mit verschiedenartiger komplexer Prozedur;9314;14.4573;10.5216;721;0.0774;1119;0.1201
1;B02D;Komplexe Kraniotomie oder Wirbelsäulen-Operation ohne Strahlentherapie, Alter > 5 Jahre oder ohne äußerst schwere CC, ohne bestimmten Eingriff am Schädel, ohne komplizierende Konstellation, ohne verschiedenartige komplexe Prozedur;4247;14.7346;11.7439;811;0.191;541;0.1274
1;B03Z;Operative Eingriffe bei nicht akuter Para- / Tetraplegie oder Eingriffe an Wirbelsäule und Rückenmark bei bösart. Neubild. od. mit schw. CC od. mit intraop. Monitoring od. Eingriffe b. zerebraler Lähmung, Muskeldystrophie, Neuropathie mit äuß. schw. CC;3567;15.3558;12.1868;256;0.0718;470;0.1318
1;B04A;Interventionelle oder beidseitige Eingriffe an den extrakraniellen Gefäßen mit äußerst schweren CC;919;13.6801;10.3793;155;0.1687;74;0.0805
1;B04B;Beidseitige Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC oder mehrzeitige Eingriffe an den extrakraniellen Gefäßen oder äußerst schwere CC;1608;13.9291;9.1962;72;0.0448;116;0.0721
1;B04C;Interventionelle Eingriffe an den extrakraniellen Gefäßen, ohne mehrzeitige Eingriffe, ohne beidseitige Eingriffe, ohne äußerst schwere CC;3764;4.1993;3.4564;543;0.1443;317;0.0842
1;B04D;Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;18882;6.5845;3.1033;57;0.003;1590;0.0842
1;B05Z;Dekompression bei Karpaltunnelsyndrom;8401;1.6056;1.7552;6118;0.7282;186;0.0221
1;B07Z;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems mit äußerst schweren CC oder komplizierender Diagnose;1812;20.0717;17.5724;277;0.1529;326;0.1799
1;B09Z;Andere Eingriffe am Schädel;4774;5.9196;4.2397;232;0.0486;368;0.0771
1;B11Z;Frührehabilitation mit bestimmter OR-Prozedur;848;62.0071;41.0186;0;0.00;0;0.00
1;B12Z;Implantation eines Herzschrittmachers bei Krankheiten und Störungen des Nervensystems oder perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen;2514;14.1981;8.2392;141;0.0561;157;0.0625
1;B13Z;Epilepsiechirurgie mit invasivem präoperativen Video-EEG;126;21.2143;11.5721;0;0.00;0;0.00
1;B15Z;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, mehr als 10 Bestrahlungen;3253;25.0529;12.7413;70;0.0215;407;0.1251
1;B16Z;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, weniger als 11 Bestrahlungen;6534;10.2271;8.042;1269;0.1942;449;0.0687
1;B17A;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, mit komplizierender Diagnose oder Implantation Ereignis-Rekorder;1774;8.6116;5.3798;210;0.1184;103;0.0581
1;B17B;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, ohne komplizierende Diagnose, ohne Implantation Ereignis-Rekorder, mit komplexem Eingriff;2047;4.5198;7.2448;268;0.1309;157;0.0767
1;B17C;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neurop., oh. kompl. Diagn., oh. Impl. Ereign.-Rek., ohne kompl. Eingr., Alt. < 19 J. od. m. schw. CC, Alt. > 15 J.;1100;9.5027;8.9395;203;0.1845;127;0.1155
1;B17D;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, ohne kompl. Diagnose, ohne Impl. Ereign.-Rek., ohne schw. CC, Alt. > 18 J., mit mäßig kompl. Eingr.;9704;4.5081;5.0377;2107;0.2171;750;0.0773
1;B17E;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebr. Lähmung, Muskeldystrophie od. Neuropathie, ohne kompl. Diagnose, ohne mäßig kompl. od. kompl. Eingr., ohne äuß. schw. oder schw. CC, Alter > 18 J.;6147;2.3721;2.5705;3013;0.4902;299;0.0486
1;B18Z;Eingriffe an Wirbelsäule und Rückenmark außer bei bösartiger Neubildung, ohne äußerst schwere oder schwere CC oder Revision eines Ventrikelshuntes;6335;7.8311;5.9182;732;0.1155;447;0.0706
1;B20A;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter < 16 Jahre;392;9.2423;6.2628;18;0.0459;24;0.0612
1;B20B;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter > 15 Jahre, mit intraoperativem neurophysiologischen Monitoring oder komplexer Diagnose;19513;10.5399;5.8737;644;0.033;1569;0.0804
1;B20C;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter < 3 Jahre oder Alter < 18 Jahre mit großem intrakraniellen Eingriff;560;8.6768;7.1639;34;0.0607;53;0.0946
1;B20D;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter > 15 Jahre, ohne intraoperatives neurophysiologisches Monitoring, ohne komplexe Diagnose;2346;10.0017;6.0685;97;0.0413;210;0.0895
1;B20E;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, mit komplexer Diagnose oder bestimmtem Eingriff bei Trigeminusneuralgie;8199;9.2652;6.7233;727;0.0887;738;0.09
1;B20F;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, ohne komplexe Diagnose, ohne bestimmten Eingriff bei Trigeminusneuralgie;8735;9.1343;5.9919;548;0.0627;739;0.0846
1;B21A;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, mit Sondenimplantation;775;13.6994;5.9742;23;0.0297;40;0.0516
1;B21B;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, ohne Sondenimplantation;904;4.4757;3.8564;88;0.0973;54;0.0597
1;B36A;Intensivmedizinische Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte oder > 1176 / 1104 / 1104 Aufwandspunkte mit bestimmter OR-Prozedur bei Krankheiten und Störungen des Nervensystems;1042;41.1958;21.1174;0;0.00;200;0.1919
1;B36B;Intensivmedizinische Komplexbehandlung > 1176 / 1104 / 1104 Aufwandspunkte ohne bestimmte OR-Prozedur oder > 588 / 552 / 552 Aufwandspunkte mit bestimmter OR-Prozedur bei Krankheiten und Störungen des Nervensystems;2276;29.7856;17.1328;1;0.0004;326;0.1432
1;B39A;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, mehr als 72 Stunden mit komplexem Eingriff oder mit komplizierender Konstellation;2699;14.7588;9.8428;180;0.0667;219;0.0811
1;B39B;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden mit komplexem Eingriff, oder mehr als 72 Stunden, ohne komplexen Eingriff, ohne komplizierende Konstellation;7995;13.0969;8.2039;109;0.0136;549;0.0687
1;B39C;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden, ohne komplexen Eingriff, ohne komplizierende Konstellation;2790;11.5484;6.8715;81;0.029;171;0.0613
1;B42A;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage mit neurologischer Komplexbehandlung des akuten Schlaganfalls oder fachübergreifende u. andere Frührehabilitation mit neurologischer Komplexbehandlung des akuten Schlaganfalls;1239;25.1533;7.6198;0;0.00;117;0.0944
1;B42B;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage ohne neurologische Komplexbehandlung des akuten Schlaganfalls;6193;21.1917;5.6765;0;0.00;173;0.0279
1;B43Z;Frührehabilitation bei Krankheiten und Störungen des Nervensystems, mehr als 27 Tage;15373;54.7283;25.944;0;0.00;0;0.00
