BettenStufe;BereichName;Anzahl KH;Anteil KH;StufeSort;BereichSortName
6;CMI 0.9 bis unter 1.0;24;0.24;250 bis 299 Betten;CMI0910
6;CMI 1.0 bis unter 1.1;21;0.21;250 bis 299 Betten;CMI1011
6;CMI 1.1 bis unter 1.2;9;0.09;250 bis 299 Betten;CMI1112
6;CMI 1.2 bis unter 1.3;3;0.03;250 bis 299 Betten;CMI1213
6;CMI >= 1.3;5;0.05;250 bis 299 Betten;CMI13
7;CMI < 0.9;48;0.2743;300 bis 399 Betten;CMI09
7;CMI 0.9 bis unter 1.0;50;0.2857;300 bis 399 Betten;CMI0910
7;CMI 1.0 bis unter 1.1;41;0.2343;300 bis 399 Betten;CMI1011
7;CMI 1.1 bis unter 1.2;10;0.0571;300 bis 399 Betten;CMI1112
7;CMI 1.2 bis unter 1.3;7;0.04;300 bis 399 Betten;CMI1213
7;CMI >= 1.3;19;0.1086;300 bis 399 Betten;CMI13
8;CMI < 0.9;24;0.1983;400 bis 499 Betten;CMI09
8;CMI 0.9 bis unter 1.0;51;0.4215;400 bis 499 Betten;CMI0910
8;CMI 1.0 bis unter 1.1;27;0.2231;400 bis 499 Betten;CMI1011
8;CMI 1.1 bis unter 1.2;13;0.1074;400 bis 499 Betten;CMI1112
8;CMI 1.2 bis unter 1.3;2;0.0165;400 bis 499 Betten;CMI1213
8;CMI >= 1.3;4;0.0331;400 bis 499 Betten;CMI13
9;CMI < 0.9;5;0.0617;500 bis 599 Betten;CMI09
9;CMI 0.9 bis unter 1.0;23;0.284;500 bis 599 Betten;CMI0910
9;CMI 1.0 bis unter 1.1;21;0.2593;500 bis 599 Betten;CMI1011
9;CMI 1.1 bis unter 1.2;17;0.2099;500 bis 599 Betten;CMI1112
9;CMI 1.2 bis unter 1.3;6;0.0741;500 bis 599 Betten;CMI1213
9;CMI >= 1.3;9;0.1111;500 bis 599 Betten;CMI13
10;CMI < 0.9;3;0.0423;600 bis 799 Betten;CMI09
10;CMI 0.9 bis unter 1.0;15;0.2113;600 bis 799 Betten;CMI0910
10;CMI 1.0 bis unter 1.1;35;0.493;600 bis 799 Betten;CMI1011
10;CMI 1.1 bis unter 1.2;10;0.1408;600 bis 799 Betten;CMI1112
10;CMI 1.2 bis unter 1.3;2;0.0282;600 bis 799 Betten;CMI1213
10;CMI >= 1.3;6;0.0845;600 bis 799 Betten;CMI13
11;CMI < 0.9;1;0.0313;800 bis 999 Betten;CMI09
11;CMI 0.9 bis unter 1.0;3;0.0938;800 bis 999 Betten;CMI0910
11;CMI 1.0 bis unter 1.1;6;0.1875;800 bis 999 Betten;CMI1011
11;CMI 1.1 bis unter 1.2;11;0.3438;800 bis 999 Betten;CMI1112
11;CMI 1.2 bis unter 1.3;1;0.0313;800 bis 999 Betten;CMI1213
11;CMI >= 1.3;10;0.3125;800 bis 999 Betten;CMI13
12;CMI < 0.9;0;0.00;ab 1000 Betten;CMI09
12;CMI 0.9 bis unter 1.0;1;0.0196;ab 1000 Betten;CMI0910
12;CMI 1.0 bis unter 1.1;3;0.0588;ab 1000 Betten;CMI1011
12;CMI 1.1 bis unter 1.2;11;0.2157;ab 1000 Betten;CMI1112
12;CMI 1.2 bis unter 1.3;9;0.1765;ab 1000 Betten;CMI1213
12;CMI >= 1.3;27;0.5294;ab 1000 Betten;CMI13
