Type;Bundesland_A;Stufe;Anzahl KH;mwFallzahlA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
2;00_Deutschland;400 bis 499 Betten;78;605.6538;3.3399;0.5231;0.0166;00;b0499
2;00_Deutschland;500 bis 599 Betten;34;718.0882;4.7762;0.7521;0.008;00;b0599
2;00_Deutschland;600 bis 799 Betten;39;981.4615;3.0204;0.5297;0.0169;00;b0799
2;00_Deutschland;800 bis 999 Betten;17;677.7647;3.3262;0.5609;0.0098;00;b0999
2;00_Deutschland;1000 Betten und mehr;11;985.9091;4.7886;0.6745;0.0103;00;b1000+
2;00_Deutschland;Ohne Angabe;6;810.1667;3.3125;0.533;0.0113;00;oA
1;01_Schleswig-Holstein;bis 49 Betten;11;634.4545;10.5182;0.8308;0.0602;01;b0049 
1;01_Schleswig-Holstein;50 bis 99 Betten;6;1684.00;14.5667;1.342;0.0078;01;b0099 
1;01_Schleswig-Holstein;100 bis 149 Betten;4;7747.50;12.10;1.262;0.3125;01;b0149 
1;01_Schleswig-Holstein;150 bis 199 Betten;5;6511.80;8.46;1.1052;0.0432;01;b0199 
1;01_Schleswig-Holstein;200 bis 249 Betten;5;7504.40;7.02;1.216;0.0181;01;b0249 
1;01_Schleswig-Holstein;250 bis 299 Betten;0;0.00;0.00;0.00;0.00;01;b0299 
1;01_Schleswig-Holstein;300 bis 399 Betten;5;12365.60;6.72;1.1984;0.0242;01;b0399 
1;01_Schleswig-Holstein;400 bis 499 Betten;5;18098.40;5.96;1.112;0.0367;01;b0499 
1;01_Schleswig-Holstein;500 bis 599 Betten;2;24623.50;6.60;1.0475;0.0812;01;b0599 
1;01_Schleswig-Holstein;600 bis 799 Betten;4;28997.25;6.225;1.0125;0.0548;01;b0799 
1;01_Schleswig-Holstein;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;01;b0999 
1;01_Schleswig-Holstein;1000 Betten und mehr;2;48878.50;6.15;1.444;0.0569;01;b1000+
1;01_Schleswig-Holstein;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;01;oA    
1;02_Hamburg;bis 49 Betten;2;971.00;7.35;3.9805;0.0041;02;b0049 
1;02_Hamburg;50 bis 99 Betten;-999;-999.00;-999.00;-999.00;-9.99;02;b0099 
1;02_Hamburg;100 bis 149 Betten;3;5771.6667;4.9333;1.0687;0.011;02;b0149 
1;02_Hamburg;150 bis 199 Betten;4;7938.50;6.675;0.9728;0.0161;02;b0199 
1;02_Hamburg;200 bis 249 Betten;4;8907.50;8.50;1.8818;0.034;02;b0249 
1;02_Hamburg;250 bis 299 Betten;-999;-999.00;-999.00;-999.00;-9.99;02;b0299 
1;02_Hamburg;300 bis 399 Betten;2;15450.00;7.00;1.095;0.0325;02;b0399 
1;02_Hamburg;400 bis 499 Betten;-999;-999.00;-999.00;-999.00;-9.99;02;b0499 
1;02_Hamburg;500 bis 599 Betten;4;24096.50;7.725;1.419;0.0229;02;b0599 
1;02_Hamburg;600 bis 799 Betten;6;28661.6667;8.2167;1.302;0.0339;02;b0799 
1;02_Hamburg;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;02;b0999 
1;02_Hamburg;1000 Betten und mehr;-999;-999.00;-999.00;-999.00;-9.99;02;b1000+
1;02_Hamburg;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;02;oA    
1;03_Niedersachsen;bis 49 Betten;11;1038.8182;9.7091;0.9713;0.0384;03;b0049 
1;03_Niedersachsen;50 bis 99 Betten;24;2593.8333;11.0917;1.0574;0.0394;03;b0099 
1;03_Niedersachsen;100 bis 149 Betten;30;5402.70;6.8233;0.9911;0.0403;03;b0149 
1;03_Niedersachsen;150 bis 199 Betten;15;7775.7333;5.94;0.9929;0.0308;03;b0199 
1;03_Niedersachsen;200 bis 249 Betten;12;10731.9167;7.3667;1.1142;0.0365;03;b0249 
1;03_Niedersachsen;250 bis 299 Betten;14;13759.4286;6.00;0.9567;0.0346;03;b0299 
1;03_Niedersachsen;300 bis 399 Betten;15;16426.7333;5.9267;1.1305;0.0351;03;b0399 
1;03_Niedersachsen;400 bis 499 Betten;9;20791.1111;6.0667;1.0543;0.031;03;b0499 
1;03_Niedersachsen;500 bis 599 Betten;7;26969.7143;5.7571;1.0526;0.0431;03;b0599 
1;03_Niedersachsen;600 bis 799 Betten;3;29881.00;6.5333;1.1377;0.0333;03;b0799 
1;03_Niedersachsen;800 bis 999 Betten;-999;-999.00;-999.00;-999.00;-9.99;03;b0999 
1;03_Niedersachsen;1000 Betten und mehr;3;56090.6667;6.80;1.4993;0.0407;03;b1000+
1;03_Niedersachsen;Ohne Angabe;3;3085.6667;5.1667;0.7357;0.0226;03;oA    
1;04_Bremen;bis 49 Betten;0;0.00;0.00;0.00;0.00;04;b0049 
1;04_Bremen;50 bis 99 Betten;-999;-999.00;-999.00;-999.00;-9.99;04;b0099 
1;04_Bremen;100 bis 149 Betten;0;0.00;0.00;0.00;0.00;04;b0149 
1;04_Bremen;150 bis 199 Betten;2;6330.00;6.35;1.1515;0.0239;04;b0199 
1;04_Bremen;200 bis 249 Betten;-999;-999.00;-999.00;-999.00;-9.99;04;b0249 
1;04_Bremen;250 bis 299 Betten;0;0.00;0.00;0.00;0.00;04;b0299 
1;04_Bremen;300 bis 399 Betten;3;14155.3333;7.3333;1.0963;0.0302;04;b0399 
1;04_Bremen;400 bis 499 Betten;-999;-999.00;-999.00;-999.00;-9.99;04;b0499 
1;04_Bremen;500 bis 599 Betten;-999;-999.00;-999.00;-999.00;-9.99;04;b0599 
1;04_Bremen;600 bis 799 Betten;2;32712.00;6.15;1.1175;0.0514;04;b0799 
1;04_Bremen;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;04;b0999 
1;04_Bremen;1000 Betten und mehr;0;0.00;0.00;0.00;0.00;04;b1000+
1;04_Bremen;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;04;oA    
1;05_Nordrhein-Westfalen;bis 49 Betten;11;1179.0909;6.1455;0.8269;0.0121;05;b0049 
1;05_Nordrhein-Westfalen;50 bis 99 Betten;26;2494.1538;9.0808;1.1575;0.0222;05;b0099 
1;05_Nordrhein-Westfalen;100 bis 149 Betten;33;4672.0909;7.497;1.0447;0.0274;05;b0149 
1;05_Nordrhein-Westfalen;150 bis 199 Betten;19;6487.8421;7.4789;0.978;0.0256;05;b0199 
1;05_Nordrhein-Westfalen;200 bis 249 Betten;36;8925.50;6.4167;0.9878;0.0291;05;b0249 
1;05_Nordrhein-Westfalen;250 bis 299 Betten;25;11144.40;6.244;1.0054;0.0238;05;b0299 
1;05_Nordrhein-Westfalen;300 bis 399 Betten;57;14235.3509;6.4439;1.0172;0.0235;05;b0399 
1;05_Nordrhein-Westfalen;400 bis 499 Betten;32;18808.9063;6.1813;1.0123;0.0232;05;b0499 
1;05_Nordrhein-Westfalen;500 bis 599 Betten;20;23055.50;6.315;1.1741;0.0193;05;b0599 
1;05_Nordrhein-Westfalen;600 bis 799 Betten;24;27353.125;6.625;1.0968;0.0221;05;b0799 
1;05_Nordrhein-Westfalen;800 bis 999 Betten;3;38843.00;6.4667;1.032;0.0225;05;b0999 
1;05_Nordrhein-Westfalen;1000 Betten und mehr;15;47864.2667;6.8867;1.4111;0.0218;05;b1000+
1;05_Nordrhein-Westfalen;Ohne Angabe;3;9849.3333;8.70;0.6343;0.0433;05;oA    
1;06_Hessen;bis 49 Betten;11;949.8182;14.2545;1.0929;0.0146;06;b0049 
1;06_Hessen;50 bis 99 Betten;11;2251.5455;12.4364;2.4028;0.025;06;b0099 
1;06_Hessen;100 bis 149 Betten;17;3135.0588;14.4706;2.0338;0.0199;06;b0149 
1;06_Hessen;150 bis 199 Betten;15;6492.0667;7.36;1.1613;0.0191;06;b0199 
1;06_Hessen;200 bis 249 Betten;10;8726.10;7.23;0.9824;0.0352;06;b0249 
1;06_Hessen;250 bis 299 Betten;8;10889.25;6.175;0.9649;0.0232;06;b0299 
1;06_Hessen;300 bis 399 Betten;12;11223.6667;7.4667;1.1281;0.0292;06;b0399 
1;06_Hessen;400 bis 499 Betten;8;18982.00;6.45;1.1741;0.0317;06;b0499 
1;06_Hessen;500 bis 599 Betten;5;23741.40;6.04;1.0298;0.0273;06;b0599 
1;06_Hessen;600 bis 799 Betten;4;29940.50;6.275;1.1258;0.0234;06;b0799 
1;06_Hessen;800 bis 999 Betten;5;41585.80;6.24;1.242;0.02;06;b0999 
1;06_Hessen;1000 Betten und mehr;2;48438.50;6.50;1.443;0.0233;06;b1000+
1;06_Hessen;Ohne Angabe;2;15748.50;5.45;0.907;0.0365;06;oA    
1;07_Rheinland-Pfalz;bis 49 Betten;4;1067.25;8.10;1.2388;0.0049;07;b0049 
1;07_Rheinland-Pfalz;50 bis 99 Betten;7;2033.1429;11.6286;1.1776;0.0257;07;b0099 
1;07_Rheinland-Pfalz;100 bis 149 Betten;12;3779.5833;8.5417;0.8668;0.0316;07;b0149 
1;07_Rheinland-Pfalz;150 bis 199 Betten;12;6103.9167;6.35;0.8292;0.0375;07;b0199 
1;07_Rheinland-Pfalz;200 bis 249 Betten;7;7622.00;6.50;0.9806;0.0273;07;b0249 
1;07_Rheinland-Pfalz;250 bis 299 Betten;5;9579.40;5.86;0.8582;0.0387;07;b0299 
1;07_Rheinland-Pfalz;300 bis 399 Betten;8;13005.625;5.75;0.8774;0.0321;07;b0399 
1;07_Rheinland-Pfalz;400 bis 499 Betten;7;17662.1429;6.1143;0.9503;0.0342;07;b0499 
1;07_Rheinland-Pfalz;500 bis 599 Betten;7;18607.2857;6.4143;1.1147;0.0256;07;b0599 
1;07_Rheinland-Pfalz;600 bis 799 Betten;5;27199.40;6.42;1.0988;0.0257;07;b0799 
1;07_Rheinland-Pfalz;800 bis 999 Betten;-999;-999.00;-999.00;-999.00;-9.99;07;b0999 
1;07_Rheinland-Pfalz;1000 Betten und mehr;2;53142.00;6.65;1.3645;0.0339;07;b1000+
1;07_Rheinland-Pfalz;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;07;oA    
1;08_Baden-Württemberg;bis 49 Betten;13;1277.5385;12.7462;1.0206;0.017;08;b0049 
1;08_Baden-Württemberg;50 bis 99 Betten;31;2346.6129;13.4613;1.6682;0.0171;08;b0099 
1;08_Baden-Württemberg;100 bis 149 Betten;17;4026.8235;9.3118;0.9978;0.042;08;b0149 
1;08_Baden-Württemberg;150 bis 199 Betten;18;7599.6667;6.1722;0.911;0.0325;08;b0199 
1;08_Baden-Württemberg;200 bis 249 Betten;12;9499.6667;6.3583;1.0737;0.0234;08;b0249 
1;08_Baden-Württemberg;250 bis 299 Betten;8;11938.00;5.7875;0.905;0.0384;08;b0299 
1;08_Baden-Württemberg;300 bis 399 Betten;16;14832.25;6.2688;1.1053;0.0305;08;b0399 
1;08_Baden-Württemberg;400 bis 499 Betten;12;21249.0833;5.7667;0.9708;0.0391;08;b0499 
1;08_Baden-Württemberg;500 bis 599 Betten;5;24250.20;5.98;1.0556;0.0283;08;b0599 
1;08_Baden-Württemberg;600 bis 799 Betten;9;29442.3333;6.0333;1.0341;0.0379;08;b0799 
1;08_Baden-Württemberg;800 bis 999 Betten;4;40681.50;6.275;1.145;0.0276;08;b0999 
1;08_Baden-Württemberg;1000 Betten und mehr;8;58476.50;6.1875;1.3523;0.0296;08;b1000+
1;08_Baden-Württemberg;Ohne Angabe;3;8302.00;6.2667;1.6773;0.0245;08;oA    
1;09_Bayern;bis 49 Betten;35;1014.5714;9.5457;0.9805;0.0158;09;b0049 
1;09_Bayern;50 bis 99 Betten;41;2331.8049;9.2683;1.2008;0.0214;09;b0099 
1;09_Bayern;100 bis 149 Betten;51;4517.9804;8.1647;1.1024;0.0354;09;b0149 
1;09_Bayern;150 bis 199 Betten;30;6755.1333;6.8533;1.092;0.0376;09;b0199 
1;09_Bayern;200 bis 249 Betten;17;8459.4118;5.7706;1.158;0.0365;09;b0249 
1;09_Bayern;250 bis 299 Betten;16;11647.0625;6.0688;1.033;0.0275;09;b0299 
1;09_Bayern;300 bis 399 Betten;22;15397.2273;5.8227;1.0413;0.0395;09;b0399 
1;09_Bayern;400 bis 499 Betten;14;20864.3571;5.80;1.0034;0.0348;09;b0499 
1;09_Bayern;500 bis 599 Betten;10;23396.50;6.57;1.1127;0.0388;09;b0599 
1;09_Bayern;600 bis 799 Betten;7;31259.2857;6.0714;1.058;0.0476;09;b0799 
1;09_Bayern;800 bis 999 Betten;8;37400.50;6.3625;1.2505;0.0339;09;b0999 
1;09_Bayern;1000 Betten und mehr;6;66159.1667;6.65;1.3342;0.0374;09;b1000+
1;09_Bayern;Ohne Angabe;3;2036.6667;5.50;0.907;0.0026;09;oA    
1;10_Saarland;bis 49 Betten;2;390.50;18.60;1.546;0.0051;10;b0049 
1;10_Saarland;50 bis 99 Betten;-999;-999.00;-999.00;-999.00;-9.99;10;b0099 
1;10_Saarland;100 bis 149 Betten;2;6091.00;6.45;0.999;0.0427;10;b0149 
1;10_Saarland;150 bis 199 Betten;6;7168.6667;8.8167;0.9495;0.0298;10;b0199 
1;10_Saarland;200 bis 249 Betten;2;11391.00;5.95;0.858;0.03;10;b0249 
1;10_Saarland;250 bis 299 Betten;-999;-999.00;-999.00;-999.00;-9.99;10;b0299 
1;10_Saarland;300 bis 399 Betten;3;13347.6667;6.9333;1.2023;0.0302;10;b0399 
1;10_Saarland;400 bis 499 Betten;2;26386.00;5.80;0.93;0.0291;10;b0499 
1;10_Saarland;500 bis 599 Betten;-999;-999.00;-999.00;-999.00;-9.99;10;b0599 
1;10_Saarland;600 bis 799 Betten;0;0.00;0.00;0.00;0.00;10;b0799 
1;10_Saarland;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;10;b0999 
1;10_Saarland;1000 Betten und mehr;-999;-999.00;-999.00;-999.00;-9.99;10;b1000+
1;10_Saarland;Ohne Angabe;0;0.00;0.00;0.00;0.00;10;oA    
1;11_Berlin;bis 49 Betten;4;1082.75;6.725;0.8745;0.0099;11;b0049 
1;11_Berlin;50 bis 99 Betten;3;4140.3333;2.8667;0.9367;0.0015;11;b0099 
1;11_Berlin;100 bis 149 Betten;3;1850.6667;18.2667;1.7297;0.0029;11;b0149 
1;11_Berlin;150 bis 199 Betten;6;6324.1667;9.20;1.8122;0.0104;11;b0199 
1;11_Berlin;200 bis 249 Betten;5;8915.40;17.74;1.946;0.0196;11;b0249 
1;11_Berlin;250 bis 299 Betten;6;8476.00;9.0667;1.1545;0.0146;11;b0299 
1;11_Berlin;300 bis 399 Betten;5;12713.20;9.46;1.4452;0.017;11;b0399 
1;11_Berlin;400 bis 499 Betten;5;21905.00;6.16;1.0554;0.0212;11;b0499 
1;11_Berlin;500 bis 599 Betten;3;24540.6667;6.6333;1.243;0.0155;11;b0599 
1;11_Berlin;600 bis 799 Betten;0;0.00;0.00;0.00;0.00;11;b0799 
1;11_Berlin;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;11;b0999 
1;11_Berlin;1000 Betten und mehr;3;126149.00;6.20;1.3313;0.0425;11;b1000+
1;11_Berlin;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;11;oA    
1;12_Brandenburg;bis 49 Betten;4;2200.25;15.80;0.8688;0.0285;12;b0049 
1;12_Brandenburg;50 bis 99 Betten;7;2267.5714;10.5429;1.187;0.0365;12;b0099 
1;12_Brandenburg;100 bis 149 Betten;13;3373.5385;17.5615;1.7263;0.0181;12;b0149 
1;12_Brandenburg;150 bis 199 Betten;5;5015.60;9.94;1.118;0.0193;12;b0199 
1;12_Brandenburg;200 bis 249 Betten;3;10860.00;6.30;0.9563;0.0225;12;b0249 
1;12_Brandenburg;250 bis 299 Betten;5;10924.40;6.68;1.1364;0.0207;12;b0299 
1;12_Brandenburg;300 bis 399 Betten;3;13548.3333;8.2667;1.0973;0.0202;12;b0399 
1;12_Brandenburg;400 bis 499 Betten;5;19561.20;6.16;0.9776;0.0167;12;b0499 
1;12_Brandenburg;500 bis 599 Betten;5;22788.40;6.44;1.0986;0.0152;12;b0599 
1;12_Brandenburg;600 bis 799 Betten;-999;-999.00;-999.00;-999.00;-9.99;12;b0799 
1;12_Brandenburg;800 bis 999 Betten;-999;-999.00;-999.00;-999.00;-9.99;12;b0999 
1;12_Brandenburg;1000 Betten und mehr;-999;-999.00;-999.00;-999.00;-9.99;12;b1000+
1;12_Brandenburg;Ohne Angabe;0;0.00;0.00;0.00;0.00;12;oA    
1;13_Mecklenburg-Vorpommern;bis 49 Betten;2;1595.50;5.00;1.125;0.037;13;b0049 
1;13_Mecklenburg-Vorpommern;50 bis 99 Betten;5;2977.00;7.66;0.8874;0.0259;13;b0099 
1;13_Mecklenburg-Vorpommern;100 bis 149 Betten;4;4728.75;14.575;2.7108;0.0385;13;b0149 
1;13_Mecklenburg-Vorpommern;150 bis 199 Betten;8;7164.125;10.8125;1.6159;0.028;13;b0199 
1;13_Mecklenburg-Vorpommern;200 bis 249 Betten;3;9357.00;6.0667;1.1997;0.0233;13;b0249 
1;13_Mecklenburg-Vorpommern;250 bis 299 Betten;-999;-999.00;-999.00;-999.00;-9.99;13;b0299 
1;13_Mecklenburg-Vorpommern;300 bis 399 Betten;3;16901.3333;5.5667;0.912;0.0194;13;b0399 
1;13_Mecklenburg-Vorpommern;400 bis 499 Betten;2;23313.00;5.75;0.9985;0.0239;13;b0499 
1;13_Mecklenburg-Vorpommern;500 bis 599 Betten;0;0.00;0.00;0.00;0.00;13;b0599 
1;13_Mecklenburg-Vorpommern;600 bis 799 Betten;0;0.00;0.00;0.00;0.00;13;b0799 
1;13_Mecklenburg-Vorpommern;800 bis 999 Betten;3;36692.00;6.4667;1.3077;0.0203;13;b0999 
1;13_Mecklenburg-Vorpommern;1000 Betten und mehr;-999;-999.00;-999.00;-999.00;-9.99;13;b1000+
1;13_Mecklenburg-Vorpommern;Ohne Angabe;0;0.00;0.00;0.00;0.00;13;oA    
1;14_Sachsen;bis 49 Betten;9;754.00;19.90;3.3188;0.0108;14;b0049 
1;14_Sachsen;50 bis 99 Betten;9;1855.2222;15.5444;1.4803;0.0162;14;b0099 
1;14_Sachsen;100 bis 149 Betten;5;4002.60;12.66;3.209;0.0077;14;b0149 
1;14_Sachsen;150 bis 199 Betten;12;7680.75;6.175;1.1481;0.0164;14;b0199 
1;14_Sachsen;200 bis 249 Betten;9;10999.6667;6.00;0.886;0.0159;14;b0249 
1;14_Sachsen;250 bis 299 Betten;5;10517.80;6.78;1.0196;0.0162;14;b0299 
1;14_Sachsen;300 bis 399 Betten;13;15056.2308;6.2077;0.9766;0.0175;14;b0399 
1;14_Sachsen;400 bis 499 Betten;6;21362.1667;6.0833;1.3207;0.027;14;b0499 
1;14_Sachsen;500 bis 599 Betten;3;24850.00;5.9333;0.9487;0.0177;14;b0599 
1;14_Sachsen;600 bis 799 Betten;0;0.00;0.00;0.00;0.00;14;b0799 
1;14_Sachsen;800 bis 999 Betten;3;37689.6667;6.80;1.159;0.0122;14;b0999 
1;14_Sachsen;1000 Betten und mehr;3;55825.6667;7.00;1.393;0.0239;14;b1000+
1;14_Sachsen;Ohne Angabe;0;0.00;0.00;0.00;0.00;14;oA    
1;15_Sachsen-Anhalt;bis 49 Betten;4;797.75;9.80;0.7808;0.0128;15;b0049 
1;15_Sachsen-Anhalt;50 bis 99 Betten;4;1971.75;9.125;0.728;0.0117;15;b0099 
1;15_Sachsen-Anhalt;100 bis 149 Betten;4;3261.75;19.55;2.3868;0.0241;15;b0149 
1;15_Sachsen-Anhalt;150 bis 199 Betten;6;6135.50;6.2333;1.0435;0.0103;15;b0199 
1;15_Sachsen-Anhalt;200 bis 249 Betten;-999;-999.00;-999.00;-999.00;-9.99;15;b0249 
1;15_Sachsen-Anhalt;250 bis 299 Betten;4;11950.25;5.65;0.9263;0.021;15;b0299 
1;15_Sachsen-Anhalt;300 bis 399 Betten;2;13671.00;6.20;1.012;0.0303;15;b0399 
1;15_Sachsen-Anhalt;400 bis 499 Betten;7;17536.8571;5.60;0.9181;0.0251;15;b0499 
1;15_Sachsen-Anhalt;500 bis 599 Betten;5;20711.40;7.16;1.213;0.0205;15;b0599 
1;15_Sachsen-Anhalt;600 bis 799 Betten;3;28167.6667;5.9333;0.9473;0.0185;15;b0799 
1;15_Sachsen-Anhalt;800 bis 999 Betten;2;34601.50;6.70;1.2315;0.0217;15;b0999 
1;15_Sachsen-Anhalt;1000 Betten und mehr;-999;-999.00;-999.00;-999.00;-9.99;15;b1000+
1;15_Sachsen-Anhalt;Ohne Angabe;0;0.00;0.00;0.00;0.00;15;oA    
1;16_Thüringen;bis 49 Betten;-999;-999.00;-999.00;-999.00;-9.99;16;b0049 
1;16_Thüringen;50 bis 99 Betten;9;1445.5556;20.1667;1.6632;0.0101;16;b0099 
1;16_Thüringen;100 bis 149 Betten;7;2202.8571;14.40;1.5621;0.0099;16;b0149 
1;16_Thüringen;150 bis 199 Betten;4;8241.75;5.825;0.9265;0.0268;16;b0199 
1;16_Thüringen;200 bis 249 Betten;-999;-999.00;-999.00;-999.00;-9.99;16;b0249 
1;16_Thüringen;250 bis 299 Betten;-999;-999.00;-999.00;-999.00;-9.99;16;b0299 
1;16_Thüringen;300 bis 399 Betten;6;16254.00;5.7833;0.9197;0.0196;16;b0399 
1;16_Thüringen;400 bis 499 Betten;5;20692.80;6.04;0.9428;0.0236;16;b0499 
1;16_Thüringen;500 bis 599 Betten;3;22629.3333;6.2333;1.074;0.014;16;b0599 
1;16_Thüringen;600 bis 799 Betten;3;24968.6667;7.6333;1.3643;0.0111;16;b0799 
1;16_Thüringen;800 bis 999 Betten;-999;-999.00;-999.00;-999.00;-9.99;16;b0999 
1;16_Thüringen;1000 Betten und mehr;2;51343.50;6.80;1.37;0.0158;16;b1000+
1;16_Thüringen;Ohne Angabe;0;0.00;0.00;0.00;0.00;16;oA    
2;01_Schleswig-Holstein;bis 49 Betten;9;1151.1111;2.4444;0.5184;0.0431;01;b0049 
2;01_Schleswig-Holstein;50 bis 99 Betten;4;2459.25;3.975;0.7748;0.0145;01;b0099 
2;01_Schleswig-Holstein;100 bis 149 Betten;-999;-999.00;-999.00;-999.00;-9.99;01;b0149 
2;01_Schleswig-Holstein;150 bis 199 Betten;4;348.50;2.475;0.4448;0.0387;01;b0199 
2;01_Schleswig-Holstein;200 bis 249 Betten;0;0.00;0.00;0.00;0.00;01;b0249 
2;01_Schleswig-Holstein;250 bis 299 Betten;0;0.00;0.00;0.00;0.00;01;b0299 
2;01_Schleswig-Holstein;300 bis 399 Betten;4;310.00;2.375;0.4573;0.0105;01;b0399 
2;01_Schleswig-Holstein;400 bis 499 Betten;5;575.60;3.98;0.5874;0.0386;01;b0499 
2;01_Schleswig-Holstein;500 bis 599 Betten;2;210.50;5.35;0.576;0.0048;01;b0599 
2;01_Schleswig-Holstein;600 bis 799 Betten;3;1331.3333;2.40;0.449;0.0366;01;b0799 
2;01_Schleswig-Holstein;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;01;b0999 
2;01_Schleswig-Holstein;1000 Betten und mehr;0;0.00;0.00;0.00;0.00;01;b1000+
2;01_Schleswig-Holstein;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;01;oA    
2;02_Hamburg;bis 49 Betten;2;410.50;4.15;0.9435;0.0146;02;b0049 
2;02_Hamburg;50 bis 99 Betten;2;1407.00;2.70;0.676;0.0007;02;b0099 
2;02_Hamburg;100 bis 149 Betten;0;0.00;0.00;0.00;0.00;02;b0149 
2;02_Hamburg;150 bis 199 Betten;0;0.00;0.00;0.00;0.00;02;b0199 
2;02_Hamburg;200 bis 249 Betten;0;0.00;0.00;0.00;0.00;02;b0249 
2;02_Hamburg;250 bis 299 Betten;0;0.00;0.00;0.00;0.00;02;b0299 
2;02_Hamburg;300 bis 399 Betten;-999;-999.00;-999.00;-999.00;-9.99;02;b0399 
2;02_Hamburg;400 bis 499 Betten;0;0.00;0.00;0.00;0.00;02;b0499 
2;02_Hamburg;500 bis 599 Betten;0;0.00;0.00;0.00;0.00;02;b0599 
2;02_Hamburg;600 bis 799 Betten;0;0.00;0.00;0.00;0.00;02;b0799 
2;02_Hamburg;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;02;b0999 
2;02_Hamburg;1000 Betten und mehr;0;0.00;0.00;0.00;0.00;02;b1000+
2;02_Hamburg;Ohne Angabe;0;0.00;0.00;0.00;0.00;02;oA    
2;03_Niedersachsen;bis 49 Betten;10;869.10;3.93;0.6048;0.0018;03;b0049 
2;03_Niedersachsen;50 bis 99 Betten;8;795.375;4.1875;0.6905;0.0036;03;b0099 
2;03_Niedersachsen;100 bis 149 Betten;20;782.10;3.375;0.4926;0.0183;03;b0149 
2;03_Niedersachsen;150 bis 199 Betten;11;885.0909;3.8636;0.5475;0.0179;03;b0199 
2;03_Niedersachsen;200 bis 249 Betten;6;323.00;2.90;0.4332;0.0134;03;b0249 
2;03_Niedersachsen;250 bis 299 Betten;11;509.6364;3.2182;0.4672;0.0177;03;b0299 
2;03_Niedersachsen;300 bis 399 Betten;7;179.8571;2.3143;0.4369;0.0079;03;b0399 
2;03_Niedersachsen;400 bis 499 Betten;6;572.8333;3.4333;0.5297;0.0093;03;b0499 
2;03_Niedersachsen;500 bis 599 Betten;5;413.00;3.42;0.6492;0.0077;03;b0599 
2;03_Niedersachsen;600 bis 799 Betten;-999;-999.00;-999.00;-999.00;-9.99;03;b0799 
2;03_Niedersachsen;800 bis 999 Betten;0;0.00;0.00;0.00;0.00;03;b0999 
2;03_Niedersachsen;1000 Betten und mehr;0;0.00;0.00;0.00;0.00;03;b1000+
2;03_Niedersachsen;Ohne Angabe;-999;-999.00;-999.00;-999.00;-9.99;03;oA    
