Type;mdc;Name;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu
2;02;MDC 02 Krankheiten und Störungen des Auges;43571;25502;18068;1;0.5853;0.4147;0.00
2;03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;116474;55184;61288;2;0.4738;0.5262;0.00
2;04;MDC 04 Krankheiten und Störungen der Atmungsorgane;12365;5065;7299;1;0.4096;0.5903;0.0001
2;05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;43240;19945;23294;1;0.4613;0.5387;0.00
2;06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;35221;14462;20759;0;0.4106;0.5894;0.00
2;07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;3820;2281;1539;0;0.5971;0.4029;0.00
2;08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;89272;50293;38978;1;0.5634;0.4366;0.00
2;09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;17371;11439;5932;0;0.6585;0.3415;0.00
2;10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;6905;4421;2484;0;0.6403;0.3597;0.00
2;11;MDC 11 Krankheiten und Störungen der Harnorgane;41249;14635;26614;0;0.3548;0.6452;0.00
2;12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;17420;0;17420;0;0.00;1.00;0.00
2;13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;23147;23146;1;0;1.00;0.00;0.00
2;14;MDC 14 Schwangerschaft, Geburt und Wochenbett;58012;58012;0;0;1.00;0.00;0.00
2;15;MDC 15 Neugeborene;43928;21442;22485;1;0.4881;0.5119;0.00
2;16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;2227;1245;982;0;0.559;0.441;0.00
2;17;MDC 17 Hämatologische und solide Neubildungen;2273;1108;1165;0;0.4875;0.5125;0.00
2;18A;MDC 18A HIV;3;1;2;0;0.3333;0.6667;0.00
2;18B;MDC 18B Infektiöse und parasitäre Krankheiten;1967;943;1024;0;0.4794;0.5206;0.00
2;19;MDC 19 Psychische Krankheiten und Störungen;345;245;100;0;0.7101;0.2899;0.00
2;20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;838;271;567;0;0.3234;0.6766;0.00
2;21A;MDC 21A Polytrauma;7;3;4;0;0.4286;0.5714;0.00
2;21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;3324;1646;1678;0;0.4952;0.5048;0.00
2;22;MDC 22 Verbrennungen;26;17;9;0;0.6538;0.3462;0.00
2;23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;1794;1042;752;0;0.5808;0.4192;0.00
2;FE;Fehler-DRGs und sonstige DRGs;410;225;185;0;0.5488;0.4512;0.00
